,G03278,G03279,G03280,G03281,G03282,G03283,G03284,G03285,G03286,G03287,G03288,G03289,G03290,G03291,G03292,G03303,G03304,G03305,G03306,G03307,G03308,G03309,G03310,G03311,G03312,G03313,G03314,G03315,G03316,G03317,G03318,G03324,G03325,G03326,G03327,G03328,G03329,G03330,G03331,G03332,G03333,G03334,G03335,G03336,G03337,G03338,G03344,G03345,G03346,G03347,G03348,G03349,G03350,G03351,G03352,G03353,G03354,G03355,G03356,G03357,G03358,G03369,G03370,G03371,G03372,G03373,G03374,G03375,G03376,G03377,G03378,G03379,G03380,G03381,G03382
cluster0,0,0,0,0,0,0,0,0,0,0,0,0,0.003972064,0,0.000408949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000216118,0,0,0,0,0,0,0,0,0.000204792,0,0,0,0,0,0.000107005,0,0,0,0,0.00016609,0,0.000430564,0,0.000629987,0,0,0,0,0,0,0,0.00017742,0,0,0,0,0,0.000240014,0,0,0.000267001,0,0
cluster1,0,0,0,0,0,0,0,0,0,0,0,0.000393381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32E-05,0.000196773,0,0,0,0,0,0.00040186,0.004794537,0,0,0,0,0,0,0,0,0,0,8.05E-05,0,0,0,0,0,0,0,0,0
cluster2,0,0,0,0,0,0,0.00029311,0.000335659,0.000100705,0,0.000543384,0.001521072,0.001324021,0.00017924,0.001299014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000133754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88E-05,0,0,0,0.00016276,0,0,0,0,0,9.69E-05,0,0,0,0,0,0,0,0,0.001094092,0.001380182,0.00020128,0.000593142,0,0.000557272,0.000227382,0.000450308,0,0.000267001,0,0
cluster3,0,0,0,0,0,0.000214884,0.000270563,0.000263732,0.000268546,0.000177642,0.000864475,0.000708085,0.00062891,0.000398311,0.001299014,0,0,0,0,0,0.000131303,6.88E-05,8.20E-05,0,0,0.000108405,0,0.000197305,0.003290354,0,0,0,0,0,0,0,0,0.00011244,0,5.60E-05,0,0,0,0,0,0,9.51E-05,0,0,0.000158292,0,0.000138408,0,0,0.000193719,0,0,0,0,0,0.000347993,0.000300978,0.000312334,0.000931457,0.000608216,0.000362304,0.00081557,0.000355763,0.001519834,0.000593693,0.001215833,0.000121921,0.000164308,0.00047669,0
cluster4,0,0,0,0,0,0.000214884,0.000225469,0,0.000369251,0,0.003408501,0.001153917,0.000926815,0.002091134,0.003247535,0.000213516,0.000275539,0.000214531,0,0.000323802,0.000919118,0.00309555,0.0013123,0.000918635,0.002423622,0.000469755,0.000928026,0.00056373,0.006286448,0.000420474,0.000291698,0.001750557,0.001288284,0,0.00035934,0,0.009069226,0.003440677,0.002576987,0.005168489,0.0052222,0.000459333,0.003035783,0.000373905,0.004765006,0.001810262,0.001462405,0.000874546,0.001980252,0.002713581,0.000683357,0.001522491,0.000311624,0.006716803,0.003123714,0.009029819,0.000282254,0.006639323,0.001257326,0.002254205,0.004001914,0.00234763,0.002717306,0.012655982,0.009427341,0.004367779,0.008822984,0.002973166,0.008156441,0.011735429,0.006304318,0.001341136,0.008954794,0.0075317,0.00235859
cluster8,0.000908153,0.001154045,0.000962464,0.000514126,0.000831324,0,0,0.000311683,0.000369251,0,0,0,0,0.000258902,0.000360837,0.000491086,0.000780694,0.000411184,0.0003465,0,0,0,0,0,0,0,0,0,0.001043283,0,0,0.000216118,0,0.0004158,0.000422753,0.001068773,0.000500574,0.00047225,0.000294513,0,0,0.00062338,0.000613616,0.000826528,0.001065467,0.00121627,0,0.000546591,0.000569661,0.000474877,0.001242468,0,0,0,0,0,0,0.000358882,0.000554076,0,0.000956979,0.000451467,0.001061936,0.000872317,0,0.000724609,0,0,0.000253306,0.000126323,0,0,0.000267001,0.000429021,0.000968707
cluster9,0.013498452,0.009749692,0.009315275,0.00856877,0.014298778,0.016725163,0.022727272,0.010021818,0.01252098,0.024616166,0.00899054,0.013847001,0.008473735,0.005755597,0.00981477,0.07957724,0.037197768,0.050110841,0.039236068,0.086629471,0.060530462,0.234642636,0.253027859,0.099442257,0.117869944,0.03490641,0.021791435,0.102401488,0.068187898,0.032404552,0.023102503,0.118800112,0.22090423,0.126559252,0.199243273,0.09623606,0.054974824,0.03211298,0.097189243,0.207206031,0.153525839,0.029331671,0.129053094,0.063327758,0.166212857,0.083752899,0.086995292,0.092024138,0.032145182,0.080977794,0.122165621,0.015612457,0.162177803,0.023939376,0.027169043,0.07000735,0.076259879,0.063419636,0.126968566,0.316386336,0.239984341,0.012430399,0.009370022,0.013646578,0.012070741,0.151825611,0.190157553,0.245298841,0.022113582,0.010939592,0.046134102,0.10051207,0.093676189,0.119220136,0.06978899
cluster10,0.014695563,0.019021847,0.019902379,0.020369191,0.022805996,0.001719075,0.000992063,0.000479513,0.001040618,0,0.100871885,0.101439773,0.102479229,0.084043654,0.118811643,0.017166648,0.021560928,0.016697655,0.023663935,0.022765767,0.000577731,0.00130701,0.000874867,0.001476378,0.000921659,0.137891161,0.142331752,0.196262473,0.001952812,0.19400684,0.107461641,0.008579888,0.005080214,0.001949064,0.002663341,0.047630111,0.000677247,0,0.000644247,0,0.001297017,0.048689261,0.016535331,0.020190889,0.003196401,0.008881598,0.009036002,0.004219686,0.009277344,0.006783954,0.000869727,0,0.000912612,0.000373156,0.000774875,0,0.002078415,0.001871315,0.004730954,0.009745102,0.002000957,0.002708804,0.000406034,0.002114259,0.007064658,0.000724609,0.000352178,0,0,0,0,0.00102414,0.000944772,0.002717132,0.00290612
cluster11,0,0,0,0,0,0,0,0.000239756,0,0.000355285,0.000740979,0.000812987,0.000993016,0.000338564,0.000240558,0,0,0,0,0,0,0.00025223,0,0.000492126,0.000546168,0.000397485,0.000171857,0.000366424,0.000187256,0,0.000175019,0.001037367,0.000340301,0,0.000295927,0,0.000382792,0,0,0.000485129,0.001433545,0,0,0,0,0.000339424,0.000879821,0.000459137,0.000406901,0.000972367,0,0,0,0.002095413,0.000653801,0.001338723,0,0,0,0.000520201,0,0.000391272,0,0.000413981,0.000444465,0.00030192,0.000834106,0.000203293,0.0009119,0.000176853,0.0002927,0,0.000431309,0,0
cluster15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000131234,0,0,0,0,0,0,0,0,0,0,0,0,0.000117782,0,0,0,0,0,0,0,0,0,0,0,0.000108507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
