"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","KO","Description"
"NVE10002",1042.09924756827,-0.258459336799235,0.0905316982955972,-2.8549043226311,0.00430497958268232,0.0441677472433627,"K08958","CSNK1G; casein kinase 1, gamma [EC:2.7.11.1]"
"NVE10012",2630.82618221442,-0.335438031641124,0.104666688310987,-3.20482129562048,0.00135146360456083,0.0209035941142466,NA,NA
"NVE10020",606.348137811181,0.506221811303121,0.1463230035118,3.45961878278624,0.000540940630450556,0.0114157512343323,NA,NA
"NVE10026",149.700791260009,-0.406784050127011,0.142603071271008,-2.85256163490297,0.0043368401297361,0.0444052349998996,"K01663","HIS7; glutamine amidotransferase / cyclase [EC:2.4.2.- 4.1.3.-]"
"NVE10035",555.218115005012,0.610312687746847,0.14510362680108,4.20604709338873,2.5987610311562e-05,0.00137964433284245,NA,NA
"NVE10047",49.2851784024274,-0.717009928400371,0.221455533398495,-3.23771511778014,0.0012049106205068,0.0193542722632811,NA,NA
"NVE10052",929.640767607992,0.415411313576974,0.128473655466659,3.23343577380172,0.00122310834649382,0.0194495216471319,"K06642","PRKDC; DNA-dependent protein kinase catalytic subunit [EC:2.7.11.1]"
"NVE10054",366.37725145774,-0.413813171931829,0.138805994805902,-2.98123414994058,0.00287089192076499,0.0339675001141701,NA,NA
"NVE10071",5663.7839966154,-1.01638383404365,0.245117453633958,-4.14651759381219,3.37570251704404e-05,0.00168000147480313,NA,NA
"NVE10083",992.629345346641,-0.293069152528466,0.0788161889167768,-3.7183877647005,0.000200498338018007,0.0057245926034105,"K12193","VPS24; charged multivesicular body protein 3"
"NVE10098",140.838611866292,0.70664439144846,0.205244374257779,3.44294158611598,0.000575423588458514,0.0119092236287465,"K08621","ADAMTS6; a disintegrin and metalloproteinase with thrombospondin motifs 6 [EC:3.4.24.-]"
"NVE10104",46.1163923725,0.695481209345947,0.18138295036691,3.83432515536381,0.000125909495894275,0.00411344708862289,NA,NA
"NVE10117",45.1014600003767,0.697239015266945,0.207929574698404,3.3532460030194,0.000798696834299247,0.0148210291873007,NA,NA
"NVE10179",17156.3344886277,0.435327760169413,0.135262297947155,3.21839689829525,0.00128909305414747,0.0201375103462454,"K06237","COL4A; collagen, type IV, alpha"
"NVE10195",64.3875549102363,-0.86323446209259,0.176136453698006,-4.90094153691004,9.53784388835437e-07,0.000115013254869043,"K09656","B4GALNT3; beta-1,4-N-acetylgalactosaminyltransferase 3 [EC:2.4.1.244]"
"NVE10197",416.817670963497,0.368092636302533,0.120750932764,3.04836267411653,0.00230092050326563,0.0293756026477684,"K17398","DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]"
"NVE10199",260.77379358434,-0.475024366869772,0.118893883786031,-3.9953641999336,6.45948753289186e-05,0.00260925775231939,"K14295","NUP50; nuclear pore complex protein Nup50"
"NVE1020",367.072488466887,-0.294175304137599,0.097505458593885,-3.01701369728288,0.00255278276587781,0.0313500177501114,"K17575","PPP1R36; protein phosphatase 1 regulatory subunit 36"
"NVE10211",971.258135605547,0.33811829789704,0.118407155385447,2.85555629468823,0.00429615059449372,0.0441215748208307,NA,NA
"NVE10213",292.486223588434,0.423555804233025,0.088422217282962,4.79015135842606,1.66655553561247e-06,0.000176950005984353,NA,NA
"NVE10214",797.952300081187,-0.328633750911652,0.0940266481138642,-3.49511290154344,0.000473861264118177,0.0105021966300115,"K09705","uncharacterized protein"
"NVE10216",1803.41097029774,0.335891215045668,0.105580816698545,3.1813659483683,0.00146582342136593,0.0219306132786683,"K12232","HECTD2; E3 ubiquitin-protein ligase HECTD2 [EC:2.3.2.26]"
"NVE10224",55.1895411456431,0.525498158254055,0.186187352115573,2.82241598198281,0.00476633090369429,0.0469832559560924,NA,NA
"NVE10253",46.3060747645958,-0.675239514254402,0.176703410502324,-3.82131568561615,0.000132741603090636,0.00428175683640143,"K00472","P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]"
"NVE10263",359.455220783342,0.403171517158396,0.143982192528613,2.80014847723809,0.00510791062061832,0.0492572686432948,NA,NA
"NVE10288",93.3883825675948,-0.916190312893762,0.195183192802632,-4.69400207947315,2.6791130700361e-06,0.000256508169298588,NA,NA
"NVE10311",762.344436049562,0.4195102505804,0.124961498136533,3.3571160464325,0.000787600484604934,0.0146982736002388,"K13173","ARGLU1; arginine and glutamate-rich protein 1"
"NVE10316",153.385123172561,0.772145162865362,0.224401759503129,3.44090511845829,0.000579771798978813,0.0119506854337534,NA,NA
"NVE10317",699.831491432243,-0.458627755706087,0.124991120614694,-3.66928269344736,0.000243231994082401,0.00656758600180638,NA,NA
"NVE10319",113.454311235545,0.74034649949998,0.192813466124118,3.83970328619788,0.000123183095275806,0.00406432936617704,NA,NA
"NVE10321",107.952509318816,0.720093100920093,0.166672360544344,4.32041100616984,1.55738855847878e-05,0.000964974781675041,NA,NA
"NVE10371",163.379439362535,-0.347341223025151,0.124346304686909,-2.79333771839637,0.0052167196887812,0.0499521125295883,NA,NA
"NVE10424",440.898144608338,0.421478565986935,0.126968135953426,3.31956173745466,0.00090158866756352,0.0159824231103912,NA,NA
"NVE10425",373.35068515153,0.563299636054444,0.188602315855063,2.98670582861415,0.00282000933215008,0.0335798541151936,NA,NA
"NVE10427",2158.81779864613,-0.196421679665042,0.0641611734345806,-3.06137916672169,0.002203198984134,0.0285553033046513,"K06279","SHC1; SHC-transforming protein 1"
"NVE10431",86.0744895163159,0.596753726233719,0.165212757200141,3.61203176042153,0.000303807345919031,0.00763676517127666,NA,NA
"NVE10434",121.198769604445,0.776968000881565,0.175308481567395,4.43200462370596,9.33610153218278e-06,0.000672529207897803,NA,NA
"NVE10446",223.193610230113,-0.826886561645233,0.178056922089998,-4.64394504824298,3.41818513668939e-06,0.000318187772586986,NA,NA
"NVE10449",35.1290517767055,0.633657011588487,0.207339243207041,3.05613641579535,0.00224209221531645,0.028892093490165,NA,NA
"NVE10457",101.990067735877,-0.457334141140165,0.143641100312327,-3.18386687477162,0.00145321829080549,0.0218475723276997,NA,NA
"NVE10481",135.545043791432,-0.357372765918304,0.12673922718097,-2.81974865925301,0.00480612778323464,0.0471974173426848,NA,NA
"NVE10484",510.187709393275,-0.315849568098305,0.108996288648537,-2.89780112712623,0.00375788794555763,0.0404478899990168,"K17794","TIM23; mitochondrial import inner membrane translocase subunit TIM23"
"NVE10491",414.797018008948,-0.208203819631434,0.0708927639874639,-2.93688393456138,0.00331528158016451,0.0373493432254403,NA,NA
"NVE10531",62.3090513166974,-0.507853980170226,0.164863531081372,-3.08045070270612,0.00206687566932971,0.0273908008138329,"K15109","SLC25A20_29; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29"
"NVE10552",533.455327554804,-0.367085820838556,0.113495029309873,-3.23437795532269,0.00121908010411599,0.0194463303740632,"K17919","SNX4; sorting nexin-4"
"NVE10554",253.56922508093,-0.397035646960824,0.10343989294191,-3.83832229199804,0.000123877819087978,0.00407318261278631,NA,NA
"NVE10574",1245.29656430251,-0.383147227201319,0.115013534599062,-3.33132294852925,0.000864342635026216,0.015565802966117,"K02542","MCM6; DNA replication licensing factor MCM6 [EC:3.6.4.12]"
"NVE10575",2398.04242703228,-0.431377312781423,0.130047151714873,-3.31708389682546,0.000909622974941913,0.0160929928437715,NA,NA
"NVE10599",156.417180094519,0.604951366445412,0.143126418746436,4.22669254036985,2.37151354953454e-05,0.00130663987083273,"K01242","CD38; ADP-ribosyl cyclase 1 [EC:3.2.2.6 2.4.99.20]"
