"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","KO","Description"
"NVE100",350.003478274353,0.414273953538512,0.134682020623949,3.07594103221263,0.0020983934010253,0.0247703167990644,"K07152","SCO1_2; protein SCO1/2"
"NVE10017",412.087201228213,0.336831592378892,0.092489490179764,3.64183640459279,0.000270700087225666,0.00590181435067712,"K14709","SLC39A1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3"
"NVE10021",5065.61717448622,-0.568332519240877,0.182931364146536,-3.10680741868637,0.00189119557174527,0.022963561404359,"K17341","HMCN; hemicentin"
"NVE10023",524.587379421086,0.326676207812087,0.0926781484183485,3.52484607630995,0.00042372892632862,0.0080505968576538,NA,NA
"NVE10024",1529.35572616832,0.378182339731329,0.093625429457447,4.03931220313616,5.3608170238611e-05,0.0018444318282096,"K17268","COPE; coatomer subunit epsilon"
"NVE10033",873.946058547467,0.362561522443104,0.124914573506667,2.90247576615834,0.00370225802942663,0.0364963526842738,NA,NA
"NVE10035",555.218115005012,-0.477700680350944,0.144378234872607,-3.3086751668106,0.000937385257903987,0.0139471959751926,NA,NA
"NVE10038",102.134717639268,0.468251148456607,0.142112236178805,3.29493899362371,0.000984430489124054,0.014485772610623,"K01444","AGA; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]"
"NVE10073",138.250985601817,0.564387714484749,0.179087477807258,3.1514638622147,0.0016245426425439,0.0206361344236581,NA,NA
"NVE10098",140.838611866292,-0.972174001215942,0.203113159672042,-4.78636639194463,1.69827903771439e-06,0.000155481950527561,"K08621","ADAMTS6; a disintegrin and metalloproteinase with thrombospondin motifs 6 [EC:3.4.24.-]"
"NVE10099",161.31352612456,-0.908537068876624,0.226702746902397,-4.00761385245931,6.13352960221869e-05,0.00203176734079077,"K08632","ADAMTS18; a disintegrin and metalloproteinase with thrombospondin motifs 18 [EC:3.4.24.-]"
"NVE10121",256.976266240352,-0.252874731341793,0.088693447820279,-2.85110949632037,0.00435669638056583,0.0406663061892396,NA,NA
"NVE10136",54.911371719373,0.618311282956726,0.216489895364714,2.85607456142503,0.00428914395713779,0.0402659569540509,NA,NA
"NVE10147",7315.27584472045,0.219493220094288,0.064700037963834,3.39247436326049,0.000692644133101718,0.0113838727291164,NA,NA
"NVE10150",803.304397566275,-0.398127918850828,0.0792089231064063,-5.0263013715765,5.00029877068014e-07,6.03814313729052e-05,NA,NA
"NVE1016",244.260774824361,0.444036656616485,0.150386760449804,2.95263130403488,0.00315078038982911,0.0326160725819228,NA,NA
"NVE10164",125.638346377352,-0.575926186558811,0.177802585542782,-3.23913279888854,0.0011989373633358,0.0166148456983674,"K11795","IQWD1; nuclear receptor interaction protein"
"NVE10170",2150.86779032641,-0.678657241974365,0.19731003435328,-3.43954753339732,0.000582687451378308,0.0101796402993859,"K17495","CSMD; CUB and sushi domain-containing protein"
"NVE10174",220.613679447344,0.364115741046036,0.104456793412441,3.48580239878078,0.000490663300750613,0.00899100521769949,"K12586","RRP43; exosome complex component RRP43"
"NVE10177",355.130346353181,0.585256519082842,0.176863023146669,3.30909485018528,0.000935981224246634,0.0139360103395495,"K05094","FGFR3; fibroblast growth factor receptor 3 [EC:2.7.10.1]"
"NVE10179",17156.3344886277,-0.566686167461386,0.135483278461472,-4.18270190902221,2.88064988663173e-05,0.00121157412357822,"K06237","COL4A; collagen, type IV, alpha"
"NVE10183",763.375453835094,0.465230530388478,0.113303598131535,4.10605257079647,4.02477919923383e-05,0.00153013224859128,"K03064","PSMC6; 26S proteasome regulatory subunit T4"
"NVE10184",41.3432939689929,-0.516926324733356,0.177007379290361,-2.92036595765534,0.00349620562847563,0.0352026057766307,NA,NA
"NVE10187",1092.67716482408,-0.28679279706399,0.0883990280614371,-3.24429808057018,0.00117740462180842,0.0164528627531449,NA,NA
"NVE10190",184.132901067991,-0.606136747094843,0.128677315849008,-4.71051749172397,2.47088591113792e-06,0.00020462383092005,NA,NA
"NVE10202",197.463462606953,0.370415499466963,0.133420204441974,2.776307389246,0.00549802006490294,0.0468804988386705,NA,NA
"NVE10214",797.952300081187,0.308861038686439,0.0959359249156977,3.2194513052107,0.0012843617228697,0.0174787723381108,"K09705","uncharacterized protein"
"NVE10215",1940.74968244659,-0.368593067741909,0.106775933676417,-3.45202383206429,0.000556398580231665,0.00984106959042198,"K22125","MYOF; myoferlin"
"NVE10218",1492.85694622263,-0.533508065334419,0.18455298620751,-2.89081242356353,0.00384247389350758,0.037402413306917,NA,NA
"NVE10224",55.1895411456431,-0.564524060179425,0.181110885495827,-3.11700789620639,0.00182696678672424,0.0224862264133667,NA,NA
"NVE10241",871.704431962913,0.988391554025743,0.203541011420921,4.85598232575232,1.19791386765129e-06,0.000120729375925649,NA,NA
"NVE10315",141.748586826358,-0.709182090720555,0.239851484797255,-2.95675505748911,0.00310894982498884,0.0323240009541175,NA,NA
"NVE10316",153.385123172561,-0.814991017443807,0.223325477744421,-3.64934187391061,0.000262913017080114,0.00580309868071666,NA,NA
"NVE10317",699.831491432243,0.388035582793962,0.126851842208346,3.05896687063195,0.00222101709724894,0.0257065283314306,NA,NA
"NVE10328",946.568799009605,0.348337796594992,0.115834950906571,3.00719078195968,0.0026367422528993,0.0290544791002818,NA,NA
"NVE1033",378.441708930304,0.480036647421993,0.0941721234594286,5.09743892128336,3.44279444178089e-07,4.65561683817028e-05,NA,NA
"NVE10343",351.008152254714,-0.33384127889015,0.120202422512351,-2.77732571367974,0.00548082250168167,0.0468788044719498,NA,NA
"NVE10349",215.254009915809,0.419621178970996,0.117810989292606,3.56181695349986,0.000368297135497097,0.00731323103813287,NA,NA
"NVE10350",204.478118376632,0.493736063059875,0.161114860550777,3.06449734910871,0.00218036106670309,0.0253872449870181,NA,NA
"NVE10385",795.548174976631,-0.41136095260667,0.128140887581277,-3.21022399931289,0.00132631571528006,0.0178563715013698,NA,NA
"NVE10386",241.136864531146,-0.496335209096829,0.116507786597583,-4.26010332520665,2.04332421588675e-05,0.000962285504724891,NA,NA
"NVE1039",157.90966078829,-0.842086391982155,0.184327102317351,-4.56843503421628,4.91379323123019e-06,0.000344223298945784,NA,NA
"NVE1040",11.3840709925916,-0.773979633996376,0.240465661540563,-3.21867009633647,0.00128786561905963,0.0174930303984921,NA,NA
"NVE10404",476.760297256883,-0.461269241709988,0.129618408728539,-3.55867076470618,0.000372736416322564,0.00735949932955062,NA,NA
"NVE10409",85.0506485989285,-0.587473065967195,0.179396968706457,-3.2747101035384,0.00105770453523467,0.0151568847081314,NA,NA
"NVE10421",2291.61399318717,-0.404859294006467,0.108725633545567,-3.72367840778588,0.000196340999464418,0.00466632012742687,"K20163","DENND4; DENN domain-containing protein 4"
"NVE10422",2918.97822606261,-0.551614639982765,0.122292173638865,-4.51062912342788,6.46356425060749e-06,0.000418486405389332,"K14326","UPF1; regulator of nonsense transcripts 1 [EC:3.6.4.-]"
"NVE10427",2158.81779864613,-0.266370118706134,0.0644871828808972,-4.13059009257854,3.61833257129808e-05,0.00142637073281097,"K06279","SHC1; SHC-transforming protein 1"
"NVE10439",1068.00302078693,-0.276921767562739,0.0778962019676426,-3.5550098794004,0.000377964887404751,0.00740880530668798,"K10591","NEDD4; E3 ubiquitin-protein ligase NEDD4 [EC:2.3.2.26]"
