"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","KO","Description"
"NVE100",350.003478274353,0.653273348288692,0.130942795137146,4.98899803997975,6.06932627608652e-07,8.84241320360513e-06,"K07152","SCO1_2; protein SCO1/2"
"NVE10002",1042.09924756827,0.319014323124348,0.088016652158574,3.62447690636541,0.000289546889665517,0.00161609983284235,"K08958","CSNK1G; casein kinase 1, gamma [EC:2.7.11.1]"
"NVE10007",96.1642999015484,0.506981751131129,0.146644479912083,3.45721674239002,0.00054578568445803,0.00273832030328749,NA,NA
"NVE1001",1736.22513959057,0.452707694493772,0.119921064858204,3.77504731991046,0.000159977292348802,0.000984816665092584,"K12373","HEXA_B; hexosaminidase [EC:3.2.1.52]"
"NVE10012",2630.82618221442,0.366634695749406,0.101900102138776,3.59798163156001,0.000320696261474403,0.00175840157472742,NA,NA
"NVE10014",297.645409936175,0.334996740135778,0.121809310563411,2.75017351782305,0.0059563714325976,0.0200479601248686,NA,NA
"NVE10015",206.560750475514,0.357972964740695,0.115287095523712,3.10505666843753,0.00190242572606878,0.00777810342866857,NA,NA
"NVE10016",620.247722097088,0.432120812969462,0.122762635980377,3.51997014008835,0.000431595384486907,0.00226173047476008,NA,NA
"NVE10017",412.087201228213,0.420212560812556,0.0885552629806734,4.74520143319166,2.08298945424748e-06,2.51770982914266e-05,"K14709","SLC39A1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3"
"NVE10020",606.348137811181,-0.737839768529235,0.143906091634229,-5.12723096117868,2.94034720952779e-07,4.80277301556273e-06,NA,NA
"NVE10021",5065.61717448622,-0.757198750442478,0.181684794995483,-4.16765063065022,3.0775514053624e-05,0.000244829080934782,"K17341","HMCN; hemicentin"
"NVE10023",524.587379421086,0.314208766885792,0.0893789062788764,3.51546891730148,0.000438978142458087,0.00229423373803156,NA,NA
"NVE10024",1529.35572616832,0.549745509678891,0.0903559373445711,6.08422120156248,1.17058900562514e-09,4.41812112559972e-08,"K17268","COPE; coatomer subunit epsilon"
"NVE10026",149.700791260009,0.574467502293947,0.141885468212627,4.04881140775502,5.14784049458674e-05,0.000376996482060395,"K01663","HIS7; glutamine amidotransferase / cyclase [EC:2.4.2.- 4.1.3.-]"
"NVE10030",18.6749070938045,-0.735513062011712,0.237730006544385,-3.0939008192657,0.00197543513076871,0.00801897396887925,NA,NA
"NVE10032",371.950916625071,0.414813845045569,0.133699037233083,3.10259410710945,0.00191832545542613,0.00783624189979236,NA,NA
"NVE10033",873.946058547467,0.692475712790134,0.121500888974381,5.69934688244251,1.20267288588821e-08,3.20232249581536e-07,NA,NA
"NVE10034",117.178401650377,0.38088912084044,0.153418906710356,2.48267393509414,0.013040038872124,0.0384427334039804,NA,NA
"NVE10035",555.218115005012,-1.08801336809779,0.142301491479563,-7.64583249820717,2.07597766742459e-14,3.41001261216046e-12,NA,NA
"NVE10037",70.1353446144469,-0.602720928891731,0.171152703985356,-3.52153904003353,0.000429049486693663,0.00225243737950252,"K05673","ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
"NVE10038",102.134717639268,0.378061500443867,0.139060124331837,2.71869094221219,0.00655408151077424,0.0216996382170063,"K01444","AGA; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]"
"NVE10043",143.800826357122,-0.342886018829846,0.140300003861153,-2.44394874834916,0.0145274901367803,0.0420988579252579,NA,NA
"NVE10044",443.471992068442,-0.508563908945319,0.147176101984758,-3.4554788589114,0.000549316268208058,0.00274893841578051,NA,NA
"NVE10045",175.779434073626,-0.50610082755298,0.176806217200595,-2.86246058292614,0.00420365544077006,0.0150291635738752,NA,NA
"NVE10046",42.3929544482524,-0.898620346478936,0.242953179719477,-3.6987387755802,0.000216673457125801,0.00126426037260945,NA,NA
"NVE10047",49.2851784024274,0.646061781979175,0.222643637483103,2.90177518334969,0.00371054724412566,0.0135719796878205,NA,NA
"NVE10049",2865.57000393353,-0.287062026920319,0.0771415411952151,-3.72123790207764,0.000198248559647929,0.00117351711056017,"K03918","lat; L-lysine 6-transaminase [EC:2.6.1.36]"
"NVE10050",418.623530047418,0.320897819663593,0.110659862990853,2.89985737367232,0.00373332492764482,0.0136403201656196,"K01307","GGH; gamma-glutamyl hydrolase [EC:3.4.19.9]"
"NVE10052",929.640767607992,-0.354172639637137,0.125957720896063,-2.81183747306283,0.00492593865494666,0.01717195025058,"K06642","PRKDC; DNA-dependent protein kinase catalytic subunit [EC:2.7.11.1]"
"NVE10053",1447.45908646678,-0.501515224348857,0.178943558868349,-2.80264474184191,0.00506854669992385,0.0175745282853759,"K06642","PRKDC; DNA-dependent protein kinase catalytic subunit [EC:2.7.11.1]"
"NVE10054",366.37725145774,0.769562126432416,0.137705600002405,5.58845919424464,2.29093194044593e-08,5.53740803221774e-07,NA,NA
"NVE10056",10.6797525478169,-1.14366877911267,0.246039326860058,-4.64831697317706,3.34654379418549e-06,3.78922980579498e-05,NA,NA
"NVE10057",69.0986969168264,-0.545893145511036,0.165975704863001,-3.28899428962585,0.00100546063581762,0.00455828364051427,NA,NA
"NVE10059",211.26271744155,0.353786240899862,0.0929102756294964,3.80782683619061,0.000140193384203029,0.000883020366290506,"K05542","DUS1; tRNA-dihydrouridine synthase 1 [EC:1.3.1.88]"
"NVE1006",192.854799846011,-0.504700762330571,0.136012094785163,-3.71070501581326,0.000206682833114919,0.00121493878084816,NA,NA
"NVE10060",2127.01536890556,0.336467643731334,0.0672007380257115,5.00690399564658,5.53124974011177e-07,8.21760510752274e-06,"K12881","THOC4; THO complex subunit 4"
"NVE10065",12.9445747628774,-0.484487238783273,0.197711149483035,-2.45048010721745,0.0142665845556382,0.0414199756983149,NA,NA
"NVE10069",936.076857247105,-0.622972770864992,0.221221317648747,-2.81606120732968,0.00486164035069566,0.0169782544063447,NA,NA
"NVE10071",5663.7839966154,1.02199963911126,0.24683551488008,4.14040758927166,3.46689255467208e-05,0.000270633429845135,NA,NA
"NVE10076",231.262672580709,-0.384812035142288,0.134737015727397,-2.85602314304519,0.00428983863768589,0.0152777021780042,NA,NA
"NVE10077",145.350436362892,-0.434080733475291,0.11943762974299,-3.63437163320605,0.000278658954716001,0.00156657510695366,NA,NA
"NVE10083",992.629345346641,0.28637580790621,0.0764221840682026,3.74728635929373,0.000178757973865702,0.00107695758597444,"K12193","VPS24; charged multivesicular body protein 3"
"NVE10086",1567.38837297644,-0.23637336717575,0.0813374371049762,-2.90608329434674,0.00365984010628603,0.0134222909558367,"K11498","CENPE; centromeric protein E"
"NVE10089",433.118441693442,0.485839908649108,0.114010001120027,4.26137973753396,2.03168675418711e-05,0.000172198741066186,"K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]"
