"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","KO","Description"
"NVE100",350.003478274353,0.471435864792114,0.163559879510789,2.8823441677885,0.00394728327271644,0.0302828202530914,"K07152","SCO1_2; protein SCO1/2"
"NVE10012",2630.82618221442,0.512133042586906,0.128049338028038,3.99949777541816,6.34770444331276e-05,0.0014127609701648,NA,NA
"NVE10016",620.247722097088,0.518306204633409,0.153919344244031,3.36738833691796,0.000758837498443172,0.00938814243875901,NA,NA
"NVE10021",5065.61717448622,-0.685906095037325,0.229646842747618,-2.9867865233015,0.00281926513178256,0.023893859105778,"K17341","HMCN; hemicentin"
"NVE10024",1529.35572616832,0.465190493971759,0.112907968271299,4.12008559797999,3.78731670247367e-05,0.000951997749000617,"K17268","COPE; coatomer subunit epsilon"
"NVE10032",371.950916625071,0.462061061170791,0.1676781597532,2.75564248707694,0.00585769846226233,0.0399602762914103,NA,NA
"NVE10035",555.218115005012,-0.836571770767271,0.179345838283444,-4.66457308836531,3.0925840113268e-06,0.000130843861358432,NA,NA
"NVE10037",70.1353446144469,-1.05347701423724,0.216163765133108,-4.87351343824223,1.09630806774536e-06,5.63070148448256e-05,"K05673","ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
"NVE10047",49.2851784024274,1.00698803537504,0.282850154259222,3.56014667205083,0.000370647714526389,0.00544278973784937,NA,NA
"NVE10050",418.623530047418,0.368744287687915,0.139109723581288,2.65074416219684,0.00803146527425744,0.0494240458092697,"K01307","GGH; gamma-glutamyl hydrolase [EC:3.4.19.9]"
"NVE10052",929.640767607992,-0.534731086494237,0.158251001201821,-3.37900602481675,0.000727484138501575,0.00909504160516364,"K06642","PRKDC; DNA-dependent protein kinase catalytic subunit [EC:2.7.11.1]"
"NVE10054",366.37725145774,0.579459972788907,0.172702660370537,3.35524636126429,0.000792943335266285,0.0096811584578854,NA,NA
"NVE10060",2127.01536890556,0.307093212970948,0.0839897337714241,3.65631844728421,0.000255863474426792,0.0041165504477431,"K12881","THOC4; THO complex subunit 4"
"NVE10064",546.989546297826,0.759014424908008,0.247474255337797,3.0670439794716,0.00216187046897639,0.0196974517868441,NA,NA
"NVE10070",509.798247683527,0.782329018958622,0.292941086905922,2.67060188525165,0.0075715389379837,0.0475944398202294,NA,NA
"NVE10071",5663.7839966154,1.39937234937154,0.312714649623832,4.47491779184269,7.64407180149913e-06,0.000272205396851384,NA,NA
"NVE10083",992.629345346641,0.463427092558415,0.0959033974726262,4.83222810423053,1.35013433489991e-06,6.5860662555871e-05,"K12193","VPS24; charged multivesicular body protein 3"
"NVE10086",1567.38837297644,-0.284604333986169,0.102062105324176,-2.78854069374908,0.00529460952487376,0.0371648200114451,"K11498","CENPE; centromeric protein E"
"NVE10092",184.15382419127,-0.423198099253565,0.145243169257781,-2.91372118507318,0.00357148729328726,0.0283386186309346,NA,NA
"NVE10097",2047.24994103085,-0.449003612134295,0.137466515433019,-3.26627623257878,0.00108971893316899,0.0122735554697357,NA,NA
"NVE10098",140.838611866292,-1.32094141786719,0.258773545724508,-5.1046230949491,3.31454464027091e-07,2.03501611448357e-05,"K08621","ADAMTS6; a disintegrin and metalloproteinase with thrombospondin motifs 6 [EC:3.4.24.-]"
"NVE10100",184.225078166586,-0.697188238757508,0.217004929491649,-3.21277604334023,0.0013145875307665,0.0139253729213471,"K10521","ABTB2; ankyrin repeat and BTB/POZ domain-containing protein 2"
"NVE10104",46.1163923725,-0.708296825734637,0.222622430054295,-3.18160584969758,0.00146460991970224,0.0150013689090883,NA,NA
"NVE10117",45.1014600003767,-0.854497958009491,0.262736501940959,-3.25230012463784,0.00114475076752748,0.0126860710057013,NA,NA
"NVE10123",17.9732869879047,-0.793475729934336,0.294360376062342,-2.69559286663735,0.00702634886989941,0.0450014897944457,NA,NA
"NVE10127",254.963973783234,-0.594817195773643,0.218139688106815,-2.72677200988013,0.00639572133499737,0.042359262877729,NA,NA
"NVE10139",3808.7765768988,-0.965829605906431,0.241002395233335,-4.00755189578646,6.13513834646746e-05,0.00137772345545451,NA,NA
"NVE10179",17156.3344886277,-0.569752645594507,0.16717388864052,-3.40814376113285,0.000654064258843469,0.00837880458618043,"K06237","COL4A; collagen, type IV, alpha"
"NVE10185",169.326227048591,0.477790919277587,0.150609185829439,3.17238896582756,0.00151190360833141,0.0153387143853793,"K16816","PNPLA2; patatin-like phospholipase domain-containing protein 2 [EC:3.1.1.3]"
"NVE10188",352.910435748726,-0.948870160173979,0.268109251979736,-3.53911755438301,0.000401467029873263,0.00578404892803247,NA,NA
"NVE10193",81.3856372720631,-0.638880812290712,0.223750157123268,-2.8553312341977,0.00429919650029723,0.0320728465172313,"K04615","GABBR; gamma-aminobutyric acid type B receptor"
"NVE10195",64.3875549102363,1.1188943796518,0.223817695772141,4.99913277988036,5.75887368265402e-07,3.27244933786132e-05,"K09656","B4GALNT3; beta-1,4-N-acetylgalactosaminyltransferase 3 [EC:2.4.1.244]"
"NVE10197",416.817670963497,-0.89144081098362,0.148224307831182,-6.01413374113318,1.80851158808433e-09,2.35711460706817e-07,"K17398","DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]"
"NVE10198",101.353855922582,0.506830846873746,0.179290434295463,2.82687054033519,0.00470053268012491,0.0341139881941402,"K13706","ABHD14; abhydrolase domain-containing protein 14"
"NVE10199",260.77379358434,0.491262953246083,0.147835334497799,3.32304151044078,0.000890416632277636,0.0105927849472405,"K14295","NUP50; nuclear pore complex protein Nup50"
"NVE10211",971.258135605547,-0.44883630047884,0.14526685164568,-3.08973654618465,0.00200334109555134,0.0187405367108363,NA,NA
"NVE10213",292.486223588434,-0.670009445895968,0.106378390169052,-6.29836045489332,3.00810355785528e-10,4.72581916302469e-08,NA,NA
"NVE10214",797.952300081187,0.630898986853084,0.114968036261838,5.48760340148995,4.07423530669908e-08,3.52429601469362e-06,"K09705","uncharacterized protein"
"NVE10216",1803.41097029774,-0.497118843075627,0.128950646584338,-3.85510934798216,0.00011567791271273,0.00223671880816307,"K12232","HECTD2; E3 ubiquitin-protein ligase HECTD2 [EC:2.3.2.26]"
"NVE10218",1492.85694622263,-0.952077292266956,0.231928815069943,-4.10504098845949,4.04243198109843e-05,0.00100430932218778,NA,NA
"NVE10224",55.1895411456431,-0.793009965664782,0.231420920587475,-3.42669955530243,0.000610964654291344,0.00799016255807469,NA,NA
"NVE10252",587.740499272347,-0.493149738622446,0.164006099604262,-3.00689876664581,0.00263927639658712,0.0227933627685854,"K20478","GOLGB1; golgin subfamily B member 1"
"NVE10277",402.58400557555,0.319013600633606,0.107958196366694,2.95497341906338,0.00312695990599309,0.0256497278391676,"K19953","GRTP1; TBC1 domain family member 6"
"NVE10287",417.375669715556,0.989901462229036,0.268478052428935,3.68708523200815,0.000226837397554023,0.00374997905472541,NA,NA
