"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","KO","Description"
"NVE100",350.003478274353,0.904763442520204,0.20009268707681,4.52172168677454,6.13386746092936e-06,9.14274565733172e-05,"K07152","SCO1_2; protein SCO1/2"
"NVE10002",1042.09924756827,0.411925706679657,0.133785203312334,3.0790079656117,0.00207691128513197,0.0107299251574634,"K08958","CSNK1G; casein kinase 1, gamma [EC:2.7.11.1]"
"NVE1001",1736.22513959057,0.552809070091126,0.183137342514741,3.01854915278478,0.0025398819644063,0.012565541644784,"K12373","HEXA_B; hexosaminidase [EC:3.2.1.52]"
"NVE10012",2630.82618221442,0.703641366568867,0.155150346022549,4.53522267018728,5.75427441564146e-06,8.65605113841717e-05,NA,NA
"NVE10015",206.560750475514,0.456348054606786,0.175237891968488,2.60416311495489,0.00920989131968261,0.0347616311214797,NA,NA
"NVE10016",620.247722097088,0.821554329873131,0.18744630539947,4.38287822276519,1.17121587741699e-05,0.000155221790834689,NA,NA
"NVE10017",412.087201228213,0.408188870568307,0.134193950403175,3.04178295177939,0.00235181410317019,0.011829003314073,"K14709","SLC39A1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3"
"NVE10021",5065.61717448622,-1.29343030921714,0.280737105520916,-4.60726524488861,4.07999417367602e-06,6.56565658603889e-05,"K17341","HMCN; hemicentin"
"NVE10023",524.587379421086,0.397459815819473,0.134874763705182,2.94688053495514,0.00320997190132481,0.0150389225208765,NA,NA
"NVE10024",1529.35572616832,0.872375117816493,0.136998905477615,6.36775246324164,1.9181815515881e-10,1.26594438527498e-08,"K17268","COPE; coatomer subunit epsilon"
"NVE10025",17037.4261465824,-0.377618195106281,0.145655919247242,-2.59253586848947,0.00952712461812331,0.0357286731244615,"K02132","ATPeF1A; F-type H+-transporting ATPase subunit alpha"
"NVE10026",149.700791260009,0.609394298748926,0.218870948436291,2.78426306964311,0.00536495012088025,0.0227048121505347,"K01663","HIS7; glutamine amidotransferase / cyclase [EC:2.4.2.- 4.1.3.-]"
"NVE10030",18.6749070938045,-0.911864675735227,0.369689779990923,-2.46656717358434,0.013641513900777,0.047079407210812,NA,NA
