"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","KO","Description"
"NVE100",350.003478274353,0.650740616922989,0.133713984395075,4.86666087968997,1.13499536382317e-06,3.17461091643603e-05,"K07152","SCO1_2; protein SCO1/2"
"NVE1001",1736.22513959057,0.403054836128072,0.122532427729945,3.28937281008079,0.0010041092716089,0.0071764742463816,"K12373","HEXA_B; hexosaminidase [EC:3.2.1.52]"
"NVE10012",2630.82618221442,0.351007810777708,0.104568779328595,3.3567171103213,0.000788737680555739,0.00598366276926588,NA,NA
"NVE10015",206.560750475514,0.327144882686776,0.118878876838054,2.75191767779265,0.00592474124825963,0.0283332913935097,NA,NA
"NVE10016",620.247722097088,0.431074112573154,0.125401501136272,3.43755145406681,0.000586999181891131,0.00475155133586812,NA,NA
"NVE10017",412.087201228213,0.239359427706645,0.0921780072908771,2.59670863735774,0.00941217251122009,0.0399566758307698,"K14709","SLC39A1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3"
"NVE10021",5065.61717448622,-0.931486855543404,0.182722397585813,-5.09782526855223,3.43577727662553e-07,1.24139199543899e-05,"K17341","HMCN; hemicentin"
"NVE10023",524.587379421086,0.338804143378375,0.0921076393596489,3.67835008837281,0.000234747601541895,0.0023235637109706,NA,NA
"NVE10024",1529.35572616832,0.631867156611081,0.0929562480537437,6.79746837722797,1.06473509503385e-11,2.07805349530751e-09,"K17268","COPE; coatomer subunit epsilon"
"NVE10032",371.950916625071,0.390684806503788,0.1363791003199,2.86469705099513,0.00417408363283096,0.0217416057836895,NA,NA
"NVE10035",555.218115005012,-0.77620488766102,0.144056302763183,-5.38820497800114,7.11648619360076e-08,3.44055796577069e-06,NA,NA
"NVE10037",70.1353446144469,-0.81492034465474,0.174555910788985,-4.66853480338384,3.03355394312269e-06,7.10473890166221e-05,"K05673","ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
"NVE10044",443.471992068442,-0.496598182189943,0.149427166272669,-3.32334604595103,0.000889445033227014,0.00653677627871115,NA,NA
"NVE10046",42.3929544482524,-0.735118136475506,0.241259809959965,-3.04699790900727,0.00231139317657284,0.0137521269377386,NA,NA
"NVE10047",49.2851784024274,0.572928725050075,0.222109676264593,2.57948566080282,0.00989475663936642,0.0414977749715348,NA,NA
"NVE10052",929.640767607992,-0.340636606491172,0.128541569933691,-2.65001125057748,0.00804890905027296,0.035318377817637,"K06642","PRKDC; DNA-dependent protein kinase catalytic subunit [EC:2.7.11.1]"
"NVE10054",366.37725145774,0.549473033724663,0.140577506764027,3.90868387392165,9.28003022879188e-05,0.00109911561345676,NA,NA
"NVE10056",10.6797525478169,-0.970987105810502,0.243873221228455,-3.98152409239267,6.8474778782956e-05,0.000858706355770404,NA,NA
