"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","KO","Description"
"NVE100",350.003478274353,0.448351008575124,0.131385088556489,3.41249538666145,0.00064371016506282,0.00777253351240217,"K07152","SCO1_2; protein SCO1/2"
"NVE10015",206.560750475514,0.371687805384156,0.115507334450575,3.21787189663873,0.00129145483438498,0.0130248017561069,NA,NA
"NVE10016",620.247722097088,0.457327185463642,0.122737608815418,3.72605585099353,0.000194499325317573,0.00313017875906889,NA,NA
"NVE10017",412.087201228213,0.355911220615352,0.0887516206504667,4.01019404498593,6.06688681134741e-05,0.00127369655390968,"K14709","SLC39A1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3"
"NVE10021",5065.61717448622,-0.780601436651949,0.181776702196705,-4.29428759141664,1.75255177277274e-05,0.000508658950782844,"K17341","HMCN; hemicentin"
"NVE10023",524.587379421086,0.333825893256581,0.0892047976402137,3.74224147229153,0.000182386130118508,0.00297466333861193,NA,NA
"NVE10024",1529.35572616832,0.476129415102583,0.090318685648211,5.27166014081622,1.35195251477154e-07,1.05902946990437e-05,"K17268","COPE; coatomer subunit epsilon"
"NVE10025",17037.4261465824,-0.268730891385611,0.095695271459029,-2.80819404436995,0.00498201974306094,0.0346537369460843,"K02132","ATPeF1A; F-type H+-transporting ATPase subunit alpha"
"NVE10032",371.950916625071,0.445965630088215,0.133592662544241,3.33824943372565,0.000843080300285198,0.00954195751565665,NA,NA
"NVE10035",555.218115005012,-0.644703693759041,0.141702372820583,-4.54970288024275,5.37217165036062e-06,0.000203481475595548,NA,NA
"NVE10037",70.1353446144469,-0.663734988939998,0.171645130559684,-3.86690252601839,0.000110226458908966,0.00203462775291846,"K05673","ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
"NVE10054",366.37725145774,0.476811658091493,0.138236102602156,3.44925565113593,0.00056213422686021,0.00701201013854713,NA,NA
"NVE10060",2127.01536890556,0.29588106399585,0.0670802639940024,4.41085121582564,1.02965051261368e-05,0.000334997736228549,"K12881","THOC4; THO complex subunit 4"
