"","Condition_GF_vs_wt","Condition_GF_vs_bA.A","Condition_GF_vs_bJ.A","Condition_GF_vs_bE.A","Condition_bA.A_vs_wt","Condition_bJ.A_vs_wt","Condition_bE.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_GF","Condition_bE.A_bJ.A_bA.A_vs_GF_wt"
"NVE1",0,0,0,0,0,0,0,0,0,0
"NVE2",0,0,0,0,0,0,0,0,0,0
"NVE3",0,0,0,0,0,0,0,0,0,0
"NVE4",0,0,0,0,0,0,0,0,0,0
"NVE5",0,0,0,0,0.472149160086653,0,0.438474099277978,0.584238116448213,0,0.549484525619643
"NVE6",0,0,0,0,0,0,0,0,0,0
"NVE7",0,0,0,0,0,0,0,0,0,0
"NVE8",0,0,0,0,0,0,0,0,0,0
"NVE9",0.568315176409917,0,0,0,0.549856335797887,0.509697010803329,0,0.614942106092955,0,0
"NVE10",0,0,0,0,0,0,0,0,0,0
"NVE11",0,0,0,0,0,0,0,0,0,0
"NVE12",0,0,0,0,0,0,-0.878968670062286,-0.855067456158141,0,-0.880394552413158
"NVE13",0,0,0,0,-0.600588323539025,0,0,0,0,0
"NVE14",0,0,0,0,0,0,0,0,0,0
"NVE15",0,0,0,0,0,0,0,0,0,0
"NVE16",0,0,0,0,0,0,0,0,0,0
"NVE17",0,0,0,0,-0.435620659543423,0,0,0,0,0
"NVE18",0,-0.294342662139597,0,0,0.269443223049439,0,0,0.317913418036218,0.342812857126376,0.440483807640459
"NVE19",-0.574573214387295,0,0,0,-0.833467087784506,-0.800118044813046,-0.86707925518738,-1.27056886818685,-0.695995653799557,-1.3110434135986
"NVE20",-0.741355566751336,0,0,-0.68480976968252,-0.661071718415042,0,0,0,0,0
"NVE21",0,0,0,0,0,0,-0.60480215365634,0,0,0
"NVE22",0,0,0,0,0,0,0,0,0,0
"NVE23",0,0,0,0,0,0,0,0,0,0
"NVE24",0,0,0,0,0,0,0,0,0,0
"NVE25",0,0,0,0,0.463883440236948,0,0.494322461497605,0.653059266869038,0,0.66211978549431
"NVE26",0,0,0,0,0,0,0,0,0,0
"NVE27",0,0,0,0,0,0,0,0,0,0
"NVE28",0,0,0,0,0,0,0,0,0,0
"NVE29",0,0,0,0,-0.471453323903611,-0.480700331196091,-0.690932788698064,-0.881722698616829,-0.621400479563828,-1.0020823521543
"NVE30",0,0,0,0,0.583487096329664,0,0.528699676049238,0.70696991668836,0,0.692123701527546
"NVE31",0,0,0,0,0.477036925739749,0,0.367841828375002,0.462489906516622,0,0.491851449367509
