"","Condition_GF_vs_wt","Condition_GF_vs_bA.A","Condition_GF_vs_bJ.A","Condition_GF_vs_bE.A","Condition_bA.A_vs_wt","Condition_bJ.A_vs_wt","Condition_bE.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_GF","Condition_bE.A_bJ.A_bA.A_vs_GF_wt"
"NVE1",0,0,0,0,0,0,0,0,0,0
"NVE2",0,0,0,0,0,0,0,0,0,0
"NVE3",0,0,0,0,0,0,0,0,0,0
"NVE4",0,0,0,0,0,0,0,0,0,0
"NVE5",0,0,0,0,1,0,1,1,0,1
"NVE6",0,0,0,0,0,0,0,0,0,0
"NVE7",0,0,0,0,0,0,0,0,0,0
"NVE8",0,0,0,0,0,0,0,0,0,0
"NVE9",1,0,0,0,1,1,0,1,0,0
"NVE10",0,0,0,0,0,0,0,0,0,0
"NVE11",0,0,0,0,0,0,0,0,0,0
"NVE12",0,0,0,0,0,0,1,1,0,1
"NVE13",0,0,0,0,1,0,0,0,0,0
"NVE14",0,0,0,0,0,0,0,0,0,0
"NVE15",0,0,0,0,0,0,0,0,0,0
"NVE16",0,0,0,0,0,0,0,0,0,0
"NVE17",0,0,0,0,1,0,0,0,0,0
"NVE18",0,1,0,0,1,0,0,1,1,1
"NVE19",1,0,0,0,1,1,1,1,1,1
"NVE20",1,0,0,1,1,0,0,0,0,0
"NVE21",0,0,0,0,0,0,1,0,0,0
"NVE22",0,0,0,0,0,0,0,0,0,0
"NVE23",0,0,0,0,0,0,0,0,0,0
"NVE24",0,0,0,0,0,0,0,0,0,0
"NVE25",0,0,0,0,1,0,1,1,0,1
"NVE26",0,0,0,0,0,0,0,0,0,0
"NVE27",0,0,0,0,0,0,0,0,0,0
"NVE28",0,0,0,0,0,0,0,0,0,0
"NVE29",0,0,0,0,1,1,1,1,1,1
"NVE30",0,0,0,0,1,0,1,1,0,1
"NVE31",0,0,0,0,1,0,1,1,0,1
"NVE32",0,0,0,0,0,0,0,0,0,0
"NVE33",1,0,0,0,0,0,0,0,0,0
"NVE34",0,0,0,0,0,0,0,0,0,0
"NVE35",0,1,0,0,1,0,1,1,1,1
"NVE36",0,0,0,0,1,0,1,1,0,1
"NVE37",0,0,0,0,1,1,1,1,0,1
"NVE38",0,0,0,0,0,0,0,0,0,0
"NVE39",0,1,0,0,1,0,0,1,0,1
"NVE40",0,0,0,0,0,1,0,0,0,0
"NVE41",0,0,0,0,1,0,1,1,0,1
"NVE42",0,0,0,0,0,0,0,0,0,0
"NVE43",0,0,0,0,0,0,1,1,0,1
