"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","ClusterSize","Count","CountClusterRatio"
"1","00030 Pentose phosphate pathway","00030 Pentose phosphate pathway",27,-0.530962740336964,-1.68464667563817,0.00556457642464956,0.0314089424857997,0.0209566503945867,5589,"tags=56%, list=22%, signal=43%","NVE6883/NVE15619/NVE9159/NVE4694/NVE7806/NVE5488/NVE25962/NVE12987/NVE9774/NVE1375/NVE172/NVE4573/NVE7745/NVE3275/NVE2496",27,15,0.555555555555556
"2","00071 Fatty acid degradation","00071 Fatty acid degradation",51,-0.430003815150825,-1.59527794062666,0.00995806625104815,0.0451669433529684,0.030136253128172,6206,"tags=39%, list=25%, signal=30%","NVE4948/NVE2445/NVE7110/NVE9430/NVE14567/NVE25321/NVE14566/NVE15724/NVE3478/NVE2365/NVE15955/NVE7486/NVE2793/NVE3738/NVE12750/NVE596/NVE3085/NVE15723/NVE25426/NVE22615",52,20,0.384615384615385
"3","00190 Oxidative phosphorylation","00190 Oxidative phosphorylation",74,-0.555317420940834,-2.19946512734726,2.48751247976301e-07,2.77159669889884e-05,1.84926261302409e-05,7035,"tags=66%, list=28%, signal=48%","NVE25480/NVE13125/NVE11640/NVE1775/NVE10902/NVE16257/NVE9150/NVE1879/NVE25394/NVE24480/NVE5007/NVE11721/NVE1074/NVE26155/NVE21263/NVE20067/NVE11537/NVE10619/NVE12527/NVE11184/NVE10132/NVE23200/NVE23962/NVE23976/NVE1958/NVE655/NVE9845/NVE10852/NVE9619/NVE1330/NVE2309/NVE878/NVE13302/NVE12849/NVE9329/NVE17215/NVE4582/NVE12526/NVE3014/NVE5553/NVE15677/NVE14193/NVE21011/NVE10857/NVE4127/NVE24009/NVE3078/NVE22193/NVE18114",75,49,0.653333333333333
"4","00220 Arginine biosynthesis","00220 Arginine biosynthesis",20,-0.658005401562588,-1.93048639377623,0.00110178572662474,0.0121675467201167,0.00811842114355072,2678,"tags=45%, list=11%, signal=40%","NVE24520/NVE19584/NVE11923/NVE24297/NVE11846/NVE8185/NVE11847/NVE17569/NVE572",20,9,0.45
"5","00230 Purine metabolism","00230 Purine metabolism",156,-0.361277282595495,-1.62466164775702,0.000194838746350489,0.00291112009253083,0.00194235530417515,4687,"tags=28%, list=19%, signal=23%","NVE16619/NVE24635/NVE12505/NVE11878/NVE93/NVE23796/NVE20491/NVE7747/NVE9058/NVE18702/NVE4316/NVE9600/NVE5488/NVE959/NVE1446/NVE12389/NVE16945/NVE17603/NVE5619/NVE4158/NVE15927/NVE2820/NVE8178/NVE20479/NVE1227/NVE4002/NVE21513/NVE25606/NVE22976/NVE21390/NVE2496/NVE18699/NVE224/NVE17003/NVE12649/NVE21387/NVE2271/NVE4003/NVE1226/NVE22347/NVE21389/NVE14036/NVE21271/NVE21385",157,44,0.280254777070064
"6","00240 Pyrimidine metabolism","00240 Pyrimidine metabolism",96,-0.471828070776183,-1.98043773616775,1.13159554967272e-05,0.000261295699651702,0.000174341515308429,4686,"tags=40%, list=19%, signal=32%","NVE24635/NVE14065/NVE3710/NVE11878/NVE23796/NVE4104/NVE15202/NVE7747/NVE4316/NVE9600/NVE17882/NVE23310/NVE25609/NVE21957/NVE959/NVE16410/NVE16945/NVE4158/NVE15927/NVE7509/NVE2820/NVE8178/NVE20479/NVE8817/NVE4002/NVE21513/NVE25606/NVE22976/NVE21390/NVE224/NVE21387/NVE16451/NVE2271/NVE4003/NVE6339/NVE25467/NVE21389/NVE21385",98,38,0.387755102040816
"7","00250 Alanine, aspartate and glutam","00250 Alanine, aspartate and glutam",38,-0.50295747810296,-1.75350469847715,0.00315892521880879,0.0229247715879267,0.0152958484279163,1342,"tags=29%, list=5%, signal=27%","NVE11923/NVE24297/NVE11846/NVE16181/NVE17571/NVE8185/NVE22347/NVE1567/NVE14036/NVE11847/NVE17569",39,11,0.282051282051282
"8","00280 Valine, leucine and isoleucin","00280 Valine, leucine and isoleucin",59,-0.493861198346171,-1.86565721185381,0.000192256305652687,0.00291112009253083,0.00194235530417515,6283,"tags=47%, list=25%, signal=36%","NVE12850/NVE4948/NVE2445/NVE8143/NVE9430/NVE8413/NVE18909/NVE14844/NVE7824/NVE15724/NVE3478/NVE8142/NVE2365/NVE22802/NVE12851/NVE19050/NVE7486/NVE4103/NVE13010/NVE3738/NVE9899/NVE3085/NVE15723/NVE25426/NVE8412/NVE6472/NVE4306/NVE22615",60,28,0.466666666666667
"9","00330 Arginine and proline metaboli","00330 Arginine and proline metaboli",75,-0.411560876039262,-1.64101849868614,0.00235306626746377,0.0190689263077235,0.0127231543122399,4429,"tags=35%, list=18%, signal=29%","NVE3370/NVE6960/NVE5992/NVE15724/NVE15200/NVE1658/NVE13555/NVE15614/NVE24608/NVE3738/NVE19584/NVE9967/NVE2516/NVE20797/NVE24404/NVE15723/NVE5391/NVE9968/NVE3355/NVE22615/NVE25706/NVE21536/NVE5994/NVE10253/NVE8919/NVE572",77,26,0.337662337662338
"10","00511 Other glycan degradation","00511 Other glycan degradation",35,0.516648913098842,1.68409795579138,0.00670722009352589,0.0362475298671399,0.0241850489374618,2412,"tags=29%, list=10%, signal=26%","NVE5812/NVE2058/NVE1609/NVE19965/NVE6691/NVE12495/NVE4896/NVE16977/NVE639/NVE15667",35,10,0.285714285714286
"11","00564 Glycerophospholipid metabolis","00564 Glycerophospholipid metabolis",65,-0.419280521712789,-1.60424642553138,0.00325692353861946,0.0229794049669262,0.0153323008689396,7058,"tags=43%, list=28%, signal=31%","NVE4639/NVE3885/NVE11536/NVE25477/NVE5114/NVE8752/NVE24319/NVE20264/NVE4640/NVE20894/NVE16747/NVE23545/NVE9989/NVE18268/NVE10958/NVE16749/NVE12677/NVE25097/NVE640/NVE4030/NVE18269/NVE8432/NVE9119/NVE20139/NVE17289/NVE23561/NVE9413/NVE25492",65,28,0.430769230769231
"12","00620 Pyruvate metabolism","00620 Pyruvate metabolism",49,-0.480783632235968,-1.77150914668385,0.00166260550715106,0.0145621309936679,0.00971613381674486,6515,"tags=45%, list=26%, signal=33%","NVE8806/NVE2445/NVE8143/NVE22317/NVE24961/NVE22316/NVE1238/NVE287/NVE15724/NVE21878/NVE10646/NVE8142/NVE2365/NVE21378/NVE21377/NVE7486/NVE22318/NVE3738/NVE15723/NVE23257/NVE22615/NVE22444",49,22,0.448979591836735
