"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","ClusterSize","Count","CountClusterRatio"
"1","00010 Glycolysis / Gluconeogenesis","00010 Glycolysis / Gluconeogenesis",46,-0.517200732055957,-1.83837889245463,0.00141254133298029,0.0128188774236323,0.00860612574649162,4780,"tags=37%, list=19%, signal=30%","NVE3738/NVE1761/NVE15409/NVE21377/NVE2445/NVE24356/NVE7745/NVE8142/NVE22316/NVE22317/NVE22615/NVE15723/NVE9159/NVE19211/NVE22318/NVE4573/NVE2496",47,17,0.361702127659574
"2","00020 Citrate cycle (TCA cycle)","00020 Citrate cycle (TCA cycle)",40,-0.626323933505421,-2.15442714317885,3.57117395607747e-05,0.000566923865527298,0.000380611961108256,5952,"tags=60%, list=24%, signal=46%","NVE14769/NVE8143/NVE2309/NVE6571/NVE22445/NVE17322/NVE1879/NVE3566/NVE23094/NVE25531/NVE363/NVE22362/NVE19140/NVE10089/NVE14208/NVE8142/NVE22316/NVE14193/NVE22317/NVE14766/NVE22318/NVE19524/NVE23257/NVE22444",41,24,0.585365853658537
"3","00051 Fructose and mannose metaboli","00051 Fructose and mannose metaboli",28,-0.562547621984684,-1.7880249055479,0.00658869955016766,0.0347061621113886,0.0233004486616036,2420,"tags=32%, list=10%, signal=29%","NVE25094/NVE20342/NVE14848/NVE20000/NVE274/NVE9159/NVE865/NVE13129/NVE6592",29,9,0.310344827586207
"4","00071 Fatty acid degradation","00071 Fatty acid degradation",51,-0.48237319555763,-1.73789405575406,0.00226680648067523,0.0174475407906518,0.0117136411441591,4962,"tags=41%, list=20%, signal=33%","NVE14567/NVE3085/NVE3738/NVE1761/NVE15409/NVE11015/NVE7486/NVE14760/NVE9430/NVE25321/NVE4948/NVE2445/NVE24526/NVE596/NVE3478/NVE2793/NVE25426/NVE2365/NVE22615/NVE15723/NVE1990",52,21,0.403846153846154
"5","00190 Oxidative phosphorylation","00190 Oxidative phosphorylation",74,-0.443555012897514,-1.72214914232004,0.00298583365336058,0.0216686213701025,0.014547520356223,4164,"tags=41%, list=16%, signal=34%","NVE4582/NVE9619/NVE20120/NVE2309/NVE11184/NVE655/NVE3014/NVE1879/NVE9329/NVE878/NVE12849/NVE26155/NVE17215/NVE1330/NVE25480/NVE10619/NVE19075/NVE10132/NVE15677/NVE3078/NVE14193/NVE12526/NVE10857/NVE5553/NVE24009/NVE4127/NVE22193/NVE21011/NVE23976/NVE18114",75,30,0.4
"6","00220 Arginine biosynthesis","00220 Arginine biosynthesis",20,-0.768335045160117,-2.21211799094189,1.69017951990051e-05,0.000330235075426715,0.000221707758885735,1835,"tags=45%, list=7%, signal=42%","NVE11845/NVE19584/NVE11923/NVE24297/NVE8185/NVE572/NVE17569/NVE11846/NVE11847",20,9,0.45
"7","00250 Alanine, aspartate and glutam","00250 Alanine, aspartate and glutam",38,-0.602713634383481,-2.03924523188639,0.000139726510093797,0.00186792281914866,0.00125405510444295,1955,"tags=26%, list=8%, signal=24%","NVE8769/NVE11923/NVE17571/NVE24297/NVE14036/NVE16181/NVE8185/NVE17569/NVE11846/NVE11847",39,10,0.256410256410256
"8","00280 Valine, leucine and isoleucin","00280 Valine, leucine and isoleucin",59,-0.559723954569898,-2.07756627088177,3.13562725997074e-05,0.000539183325710982,0.000361987976648069,6197,"tags=61%, list=25%, signal=46%","NVE14844/NVE12851/NVE8921/NVE8143/NVE3126/NVE8413/NVE6472/NVE3085/NVE3738/NVE14966/NVE1761/NVE12850/NVE9899/NVE15409/NVE11015/NVE19581/NVE7486/NVE4103/NVE9430/NVE19050/NVE4948/NVE7824/NVE22802/NVE2445/NVE18909/NVE13010/NVE4306/NVE3478/NVE8769/NVE25426/NVE8142/NVE7748/NVE2365/NVE22615/NVE15723/NVE8412",60,36,0.6
"9","00520 Amino sugar and nucleotide su","00520 Amino sugar and nucleotide su",54,-0.461614071553555,-1.67785935070869,0.0050909455910556,0.0293886404574573,0.0197304589892585,1557,"tags=22%, list=6%, signal=21%","NVE20000/NVE274/NVE22414/NVE16181/NVE865/NVE4573/NVE13129/NVE21452/NVE6592/NVE1264/NVE2496/NVE14301",54,12,0.222222222222222
"10","00561 Glycerolipid metabolism","00561 Glycerolipid metabolism",45,-0.496628781670397,-1.75801197648007,0.00617877707633854,0.0333916888806381,0.0224179593811163,4780,"tags=44%, list=19%, signal=36%","NVE19277/NVE11601/NVE11536/NVE3738/NVE1761/NVE15409/NVE24215/NVE13957/NVE3214/NVE10185/NVE2445/NVE2434/NVE24894/NVE9365/NVE1000/NVE22615/NVE15723/NVE5100/NVE8752/NVE9413",45,20,0.444444444444444
"11","00620 Pyruvate metabolism","00620 Pyruvate metabolism",49,-0.615291201485162,-2.21551623063168,4.10595501182694e-06,9.48102339094585e-05,6.36521255421976e-05,4780,"tags=45%, list=19%, signal=36%","NVE3738/NVE17900/NVE1761/NVE8806/NVE15409/NVE7486/NVE23094/NVE21377/NVE2445/NVE13222/NVE21878/NVE8142/NVE22316/NVE2365/NVE22317/NVE22615/NVE3062/NVE11482/NVE15723/NVE22318/NVE23257/NVE22444",49,22,0.448979591836735
"12","00640 Propanoate metabolism","00640 Propanoate metabolism",32,-0.535755949030149,-1.74880473881735,0.00446588814883932,0.0275755139535031,0.0185131921279217,6327,"tags=56%, list=25%, signal=42%","NVE974/NVE8143/NVE17322/NVE3126/NVE17900/NVE9899/NVE19581/NVE7486/NVE21377/NVE25531/NVE18909/NVE13010/NVE4306/NVE3478/NVE25426/NVE8142/NVE7748/NVE2365",34,18,0.529411764705882
"13","00720 Carbon fixation pathways in p","00720 Carbon fixation pathways in p",24,-0.559840039544149,-1.70973856351414,0.00585665587652439,0.0323389259268955,0.0217111728145755,4540,"tags=50%, list=18%, signal=41%","NVE3566/NVE7486/NVE23094/NVE21377/NVE363/NVE18909/NVE4306/NVE14208/NVE14193/NVE2365/NVE23257/NVE22444",25,12,0.48
"14","00730 Thiamine metabolism","00730 Thiamine metabolism",16,-0.674807137713957,-1.87255022309821,0.0066952832419608,0.0347061621113886,0.0233004486616036,2711,"tags=38%, list=11%, signal=34%","NVE5619/NVE1447/NVE11517/NVE26215/NVE11514/NVE1446",16,6,0.375
"15","00910 Nitrogen metabolism","00910 Nitrogen metabolism",18,-0.702281147393552,-2.00657641209971,0.0011554586475794,0.0117394598594067,0.00788144424875209,797,"tags=28%, list=3%, signal=27%","NVE24297/NVE8185/NVE17569/NVE11846/NVE11847",18,5,0.277777777777778
"16","00920 Sulfur metabolism","00920 Sulfur metabolism",19,-0.647275758319993,-1.85555298941745,0.0040768457086212,0.0265517643587124,0.0178258840700846,4305,"tags=47%, list=17%, signal=39%","NVE1227/NVE3083/NVE4786/NVE5242/NVE7849/NVE80/NVE1226/NVE23390/NVE6951",19,9,0.473684210526316
"17","00970 Aminoacyl-tRNA biosynthesis","00970 Aminoacyl-tRNA biosynthesis",32,-0.516533766518612,-1.68606004335025,0.00755598555573804,0.0369080832914897,0.0247787380572786,7087,"tags=62%, list=28%, signal=45%","NVE12246/NVE3272/NVE25615/NVE5384/NVE10787/NVE6648/NVE9643/NVE5200/NVE1502/NVE11761/NVE24144/NVE17197/NVE5758/NVE24728/NVE1774/NVE13794/NVE11322/NVE6649/NVE20950/NVE21455",33,20,0.606060606060606
"18","01200 Carbon metabolism","01200 Carbon metabolism",135,-0.463267131590171,-1.94667091688878,1.09817750738487e-06,5.57874173751516e-05,3.7453632883442e-05,5952,"tags=45%, list=24%, signal=35%","NVE14769/NVE8143/NVE2309/NVE6571/NVE22445/NVE11712/NVE17322/NVE3126/NVE7646/NVE11589/NVE1879/NVE15619/NVE10082/NVE3085/NVE4694/NVE8806/NVE7486/NVE23094/NVE7806/NVE4786/NVE1375/NVE5488/NVE21377/NVE3214/NVE25531/NVE1567/NVE363/NVE22362/NVE24356/NVE18909/NVE19140/NVE13010/NVE4306/NVE3478/NVE7745/NVE172/NVE11903/NVE10089/NVE12987/NVE25426/NVE14208/NVE8142/NVE14193/NVE7748/NVE9774/NVE2365/NVE24483/NVE3062/NVE11482/NVE14766/NVE24297/NVE9159/NVE19211/NVE19524/NVE4573/NVE3124/NVE23257/NVE22444/NVE17569/NVE11846/NVE11847",138,61,0.442028985507246
"19","01230 Biosynthesis of amino acids","01230 Biosynthesis of amino acids",99,-0.452206931537533,-1.8475560499058,0.000153431454730776,0.00194857947508086,0.00130820503507294,5952,"tags=45%, list=24%, signal=35%","NVE14769/NVE10026/NVE6571/NVE24520/NVE22445/NVE11712/NVE7646/NVE11589/NVE15619/NVE11577/NVE10082/NVE4694/NVE1761/NVE1394/NVE13978/NVE4786/NVE7824/NVE5488/NVE5391/NVE1658/NVE363/NVE18317/NVE24356/NVE7370/NVE19140/NVE3285/NVE172/NVE10089/NVE12987/NVE11845/NVE14208/NVE19584/NVE11923/NVE15723/NVE15556/NVE14766/NVE21473/NVE24140/NVE19211/NVE24621/NVE23257/NVE22444/NVE17569/NVE11846/NVE11847",102,45,0.441176470588235
