"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","ClusterSize","Count","CountClusterRatio"
"1","00220 Arginine biosynthesis","00220 Arginine biosynthesis",20,-0.782869057373432,-2.20338240710762,2.05118542442327e-06,8.87439336513044e-05,6.73026931545326e-05,1387,"tags=35%, list=5%, signal=33%","NVE24297/NVE19584/NVE8185/NVE572/NVE11846/NVE17569/NVE11847",20,7,0.35
"2","00240 Pyrimidine metabolism","00240 Pyrimidine metabolism",96,0.428946558619539,1.65363986208431,0.00105033270940374,0.0156932063640324,0.0119016028372065,7163,"tags=44%, list=28%, signal=31%","NVE21387/NVE6332/NVE8302/NVE21385/NVE1176/NVE1819/NVE2869/NVE2822/NVE25609/NVE4002/NVE21390/NVE14416/NVE3710/NVE4316/NVE8178/NVE16571/NVE632/NVE18079/NVE15381/NVE4003/NVE14969/NVE8799/NVE17777/NVE4158/NVE24035/NVE4292/NVE7043/NVE25467/NVE635/NVE21389/NVE13144/NVE21513/NVE5872/NVE14065/NVE3467/NVE16570/NVE16889/NVE11825/NVE7641/NVE5540/NVE8817/NVE4104",98,42,0.428571428571429
"3","00250 Alanine, aspartate and glutam","00250 Alanine, aspartate and glutam",38,-0.565623956202992,-1.84975636424941,0.000941749916039279,0.0156932063640324,0.0119016028372065,1667,"tags=21%, list=7%, signal=20%","NVE16181/NVE14036/NVE24297/NVE8185/NVE22347/NVE11846/NVE17569/NVE11847",39,8,0.205128205128205
"4","00380 Tryptophan metabolism","00380 Tryptophan metabolism",51,0.609507477111568,2.08503366920055,5.23828072689437e-06,0.000190074757804453,0.000144151183913033,4554,"tags=39%, list=18%, signal=32%","NVE8600/NVE8599/NVE22157/NVE2515/NVE12836/NVE15952/NVE24400/NVE17623/NVE13504/NVE18494/NVE9831/NVE8531/NVE19520/NVE15783/NVE13676/NVE25342/NVE18251/NVE12954/NVE9430/NVE2683",52,20,0.384615384615385
"5","00511 Other glycan degradation","00511 Other glycan degradation",35,0.570149772309467,1.82821700656788,0.00186541679491496,0.0225626602813523,0.0171113420285432,5087,"tags=37%, list=20%, signal=30%","NVE2058/NVE12495/NVE17058/NVE5812/NVE48/NVE1609/NVE19965/NVE6691/NVE2312/NVE25677/NVE10038/NVE6529/NVE16977",35,13,0.371428571428571
"6","00531 Glycosaminoglycan degradation","00531 Glycosaminoglycan degradation",26,0.589892525598809,1.76522147429917,0.00451681583806063,0.039650001418152,0.0300702455844252,5985,"tags=50%, list=24%, signal=38%","NVE1316/NVE12495/NVE48/NVE8972/NVE19965/NVE7245/NVE25677/NVE1127/NVE4668/NVE8879/NVE4670/NVE1294/NVE15458",26,13,0.5
"7","00590 Arachidonic acid metabolism","00590 Arachidonic acid metabolism",55,0.466162488033018,1.61927095586977,0.00521793216476815,0.0427533796726164,0.0324238229593403,4623,"tags=33%, list=18%, signal=27%","NVE24582/NVE15504/NVE20501/NVE24319/NVE24580/NVE10970/NVE19597/NVE12542/NVE17163/NVE11653/NVE1869/NVE13982/NVE26013/NVE14312/NVE11774/NVE3989/NVE19665/NVE11539",56,18,0.321428571428571
"8","00620 Pyruvate metabolism","00620 Pyruvate metabolism",49,-0.476910331162431,-1.66014664956607,0.00356599899419953,0.0355456513185712,0.026957539126807,1915,"tags=12%, list=8%, signal=11%","NVE22317/NVE21378/NVE11482/NVE22318/NVE23257/NVE22444",49,6,0.122448979591837
"9","00730 Thiamine metabolism","00730 Thiamine metabolism",16,-0.751996320820714,-2.00400495648795,0.000187518963267765,0.00396915138916769,0.00301017283140359,2852,"tags=44%, list=11%, signal=39%","NVE1739/NVE18859/NVE1446/NVE1447/NVE26215/NVE11517/NVE11514",16,7,0.4375
"10","00910 Nitrogen metabolism","00910 Nitrogen metabolism",18,-0.662262779897724,-1.8040307700533,0.00255237097269689,0.0281870533506527,0.0213768369795667,1387,"tags=28%, list=5%, signal=26%","NVE24297/NVE8185/NVE11846/NVE17569/NVE11847",18,5,0.277777777777778
"11","01230 Biosynthesis of amino acids","01230 Biosynthesis of amino acids",99,-0.391747898590414,-1.54459623111092,0.00379679018364499,0.0357179520979936,0.0270882106669409,654,"tags=10%, list=3%, signal=10%","NVE24140/NVE19584/NVE24356/NVE19244/NVE24621/NVE23257/NVE22444/NVE11846/NVE17569/NVE11847",102,10,0.0980392156862745
"12","02010 ABC transporters","02010 ABC transporters",59,0.487497947669276,1.71938709842129,0.00180644083536534,0.0225626602813523,0.0171113420285432,5062,"tags=32%, list=20%, signal=26%","NVE25222/NVE18588/NVE18585/NVE23359/NVE23357/NVE10037/NVE18587/NVE21037/NVE3965/NVE13154/NVE3966/NVE23141/NVE7903/NVE6830/NVE15479/NVE7906/NVE2316/NVE11181/NVE26208",60,19,0.316666666666667
"13","03010 Ribosome","03010 Ribosome",129,0.640970840459789,2.58806475866087,1e-10,2.54e-08,1.92631578947368e-08,3522,"tags=57%, list=14%, signal=49%","NVE3334/NVE2942/NVE2256/NVE14983/NVE9318/NVE18510/NVE6784/NVE12879/NVE3331/NVE10419/NVE6694/NVE12122/NVE23965/NVE11578/NVE7269/NVE21507/NVE10602/NVE17026/NVE9450/NVE19115/NVE4488/NVE3351/NVE10009/NVE23701/NVE2161/NVE4736/NVE2088/NVE1158/NVE14926/NVE23993/NVE21578/NVE24745/NVE1638/NVE22308/NVE21967/NVE16291/NVE69/NVE13447/NVE17752/NVE45/NVE22476/NVE13667/NVE4890/NVE3732/NVE2295/NVE10553/NVE10151/NVE8183/NVE16142/NVE1333/NVE19817/NVE882/NVE14265/NVE4703/NVE4298/NVE3071/NVE11807/NVE5259/NVE11447/NVE11974/NVE4715/NVE19312/NVE24100/NVE22048/NVE14982/NVE9033/NVE8043/NVE23265/NVE20682/NVE379/NVE799/NVE2507/NVE9154",129,73,0.565891472868217
