"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","ClusterSize","Count","CountClusterRatio"
"1","00062 Fatty acid elongation","00062 Fatty acid elongation",19,0.649128525582823,1.85568637090213,0.00152800174794647,0.00825771157400858,0.00516748631444383,4942,"tags=58%, list=20%, signal=47%","NVE6028/NVE20916/NVE20915/NVE3266/NVE9430/NVE22737/NVE3478/NVE15621/NVE25426/NVE26028/NVE3278",20,11,0.55
"2","00071 Fatty acid degradation","00071 Fatty acid degradation",51,0.500866799096072,1.7965829073777,0.000866936231087821,0.00537077567551967,0.0033609081102506,6379,"tags=55%, list=25%, signal=41%","NVE7110/NVE3085/NVE6028/NVE21956/NVE3266/NVE9429/NVE9430/NVE596/NVE2445/NVE24526/NVE15724/NVE2792/NVE3478/NVE14567/NVE12750/NVE25426/NVE15723/NVE14566/NVE12500/NVE25321/NVE22615/NVE1754/NVE2365/NVE4430/NVE1991/NVE1990/NVE7486/NVE5298",52,28,0.538461538461538
"3","00190 Oxidative phosphorylation","00190 Oxidative phosphorylation",74,0.48450023111364,1.87849441579271,0.000111284144368206,0.00100950616676872,0.000631725781939814,6552,"tags=46%, list=26%, signal=34%","NVE20120/NVE24009/NVE24480/NVE22193/NVE11184/NVE1074/NVE23200/NVE12849/NVE3078/NVE878/NVE23962/NVE13724/NVE10857/NVE18114/NVE9619/NVE10852/NVE19946/NVE13125/NVE14193/NVE21263/NVE2309/NVE21011/NVE5007/NVE23976/NVE1958/NVE9953/NVE25541/NVE10619/NVE17215/NVE8800/NVE1330/NVE4127/NVE4582/NVE3014",75,34,0.453333333333333
"4","00230 Purine metabolism","00230 Purine metabolism",156,0.383021407548733,1.68536989945213,0.000118429889182075,0.00103728247766369,0.000649107559582334,5496,"tags=38%, list=22%, signal=30%","NVE11538/NVE21389/NVE8178/NVE15381/NVE1975/NVE12389/NVE21387/NVE635/NVE22651/NVE21513/NVE4002/NVE12649/NVE16619/NVE959/NVE23796/NVE8233/NVE25606/NVE4020/NVE13423/NVE4158/NVE4003/NVE2820/NVE2394/NVE13144/NVE14969/NVE15851/NVE4288/NVE16423/NVE632/NVE16416/NVE20491/NVE18699/NVE1176/NVE21390/NVE1819/NVE14036/NVE8001/NVE5872/NVE680/NVE24635/NVE14831/NVE20479/NVE2869/NVE2271/NVE4292/NVE1226/NVE9822/NVE8335/NVE24035/NVE16945/NVE17182/NVE5540/NVE9058/NVE1227/NVE21385/NVE22976/NVE5488/NVE6441/NVE18702",157,59,0.375796178343949
"5","00240 Pyrimidine metabolism","00240 Pyrimidine metabolism",96,0.573209655476596,2.33663855014945,9.06060566754292e-10,7.67131279851968e-08,4.80053142385608e-08,5492,"tags=54%, list=22%, signal=43%","NVE21389/NVE8178/NVE25467/NVE15381/NVE25609/NVE4370/NVE21387/NVE635/NVE3467/NVE15202/NVE21513/NVE4002/NVE16451/NVE959/NVE23796/NVE25606/NVE4158/NVE4003/NVE2820/NVE17882/NVE8302/NVE7641/NVE13144/NVE10152/NVE14969/NVE4288/NVE8817/NVE16423/NVE632/NVE6332/NVE6339/NVE1176/NVE21390/NVE1819/NVE7509/NVE5872/NVE24635/NVE3710/NVE20479/NVE2869/NVE2271/NVE4292/NVE8335/NVE24035/NVE21957/NVE16410/NVE16945/NVE17182/NVE5540/NVE21385/NVE22976/NVE6441",98,52,0.530612244897959
"6","00260 Glycine, serine and threonine","00260 Glycine, serine and threonine",62,0.604408587655942,2.25758049264135,1.81182874377908e-07,5.75255626149856e-06,3.59981763566632e-06,5247,"tags=50%, list=21%, signal=40%","NVE11588/NVE8919/NVE4032/NVE6634/NVE1567/NVE21878/NVE11589/NVE16526/NVE22041/NVE22042/NVE16768/NVE14487/NVE15724/NVE1420/NVE2223/NVE15783/NVE11577/NVE19211/NVE10762/NVE4075/NVE1238/NVE1418/NVE22276/NVE15723/NVE24881/NVE329/NVE15952/NVE22692/NVE11971/NVE1749/NVE16854",62,31,0.5
"7","00280 Valine, leucine and isoleucin","00280 Valine, leucine and isoleucin",59,0.47139016231999,1.73542567734626,0.00239129257642079,0.0110434238983797,0.00691072112994335,4592,"tags=39%, list=18%, signal=32%","NVE3085/NVE6028/NVE7824/NVE9899/NVE3266/NVE19928/NVE9430/NVE11540/NVE2445/NVE19050/NVE15724/NVE3478/NVE14844/NVE8921/NVE4103/NVE25426/NVE15723/NVE12850/NVE6472/NVE6238/NVE13010/NVE3678/NVE22615",60,23,0.383333333333333
"8","00380 Tryptophan metabolism","00380 Tryptophan metabolism",51,0.444731156334226,1.59522730452559,0.00739288939604373,0.0284514228271986,0.0178042471898342,6481,"tags=51%, list=26%, signal=38%","NVE18494/NVE24400/NVE13504/NVE6028/NVE9430/NVE8531/NVE2515/NVE2445/NVE15724/NVE15783/NVE3478/NVE9831/NVE25426/NVE15723/NVE13500/NVE25321/NVE22615/NVE2683/NVE15952/NVE17332/NVE2365/NVE2516/NVE7486/NVE8600/NVE19524/NVE8599",52,26,0.5
"9","00430 Taurine and hypotaurine metab","00430 Taurine and hypotaurine metab",16,0.635206939809494,1.72962699377599,0.00706801042694596,0.0276196099760657,0.0172837178051634,5072,"tags=56%, list=20%, signal=45%","NVE20501/NVE17163/NVE4872/NVE15516/NVE11884/NVE2784/NVE6399/NVE15517/NVE3897",17,9,0.529411764705882
"10","00460 Cyanoamino acid metabolism","00460 Cyanoamino acid metabolism",16,0.686901012486254,1.8703865760733,0.00139754806026997,0.00771689581105591,0.00482905622656214,1707,"tags=44%, list=7%, signal=41%","NVE20501/NVE11588/NVE17163/NVE4872/NVE15516/NVE11589/NVE11884",16,7,0.4375
