"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","ClusterSize","Count","CountClusterRatio"
"1","00020 Citrate cycle (TCA cycle)","00020 Citrate cycle (TCA cycle)",40,0.489599940820237,1.76862193632014,0.00508187387257234,0.0226455432216381,0.0135141244256771,6440,"tags=57%, list=25%, signal=43%","NVE14766/NVE22362/NVE22444/NVE14193/NVE6571/NVE10089/NVE23257/NVE19524/NVE363/NVE2309/NVE14208/NVE3566/NVE22317/NVE17322/NVE14769/NVE19140/NVE22316/NVE22445/NVE8143/NVE21874/NVE22318/NVE8142/NVE1879",41,23,0.560975609756098
"2","00030 Pentose phosphate pathway","00030 Pentose phosphate pathway",27,0.557461795824546,1.8419392305823,0.00334109060224555,0.0166399414307916,0.00993017640295892,4645,"tags=56%, list=18%, signal=45%","NVE3275/NVE7745/NVE4694/NVE1375/NVE7806/NVE25962/NVE15619/NVE5488/NVE18059/NVE2496/NVE172/NVE9159/NVE18058/NVE12987/NVE4573",27,15,0.555555555555556
"3","00053 Ascorbate and aldarate metabo","00053 Ascorbate and aldarate metabo",25,0.516182736379427,1.65241052499894,0.0110068937014173,0.0388298750022223,0.0231724077924576,4369,"tags=48%, list=17%, signal=40%","NVE22615/NVE15723/NVE15724/NVE7572/NVE3944/NVE2445/NVE3738/NVE8495/NVE18059/NVE18058/NVE14938/NVE7259",25,12,0.48
"4","00062 Fatty acid elongation","00062 Fatty acid elongation",19,0.668291189044552,1.96543634261935,0.00084637523286457,0.00565735024072634,0.00337612281253457,3965,"tags=58%, list=16%, signal=49%","NVE25426/NVE20915/NVE9430/NVE3478/NVE6028/NVE3278/NVE15621/NVE20916/NVE3266/NVE22737/NVE26028",20,11,0.55
"5","00071 Fatty acid degradation","00071 Fatty acid degradation",51,0.55239301770169,2.10379750255381,1.79222647153164e-05,0.00022323877191015,0.000133221645897479,3696,"tags=43%, list=15%, signal=37%","NVE3085/NVE22615/NVE596/NVE7110/NVE25426/NVE12750/NVE15723/NVE9430/NVE15724/NVE3478/NVE6028/NVE2445/NVE14567/NVE14566/NVE3738/NVE7486/NVE2793/NVE2792/NVE2365/NVE25321/NVE3266/NVE24526",52,22,0.423076923076923
"6","00190 Oxidative phosphorylation","00190 Oxidative phosphorylation",74,0.579946820596643,2.31446908213923,6.44893172091657e-09,3.06600751878496e-07,1.82969367055547e-07,6495,"tags=61%, list=26%, signal=45%","NVE22193/NVE18114/NVE24009/NVE3078/NVE10857/NVE4127/NVE12849/NVE14193/NVE21011/NVE878/NVE11184/NVE20120/NVE23200/NVE24480/NVE1074/NVE9619/NVE10852/NVE3014/NVE2309/NVE23962/NVE4582/NVE17215/NVE5553/NVE15677/NVE1330/NVE23976/NVE1958/NVE13302/NVE12526/NVE21263/NVE10619/NVE13724/NVE9329/NVE5007/NVE13125/NVE19946/NVE12527/NVE20067/NVE11537/NVE9953/NVE26155/NVE9845/NVE1775/NVE1879/NVE11721",75,45,0.6
"7","00230 Purine metabolism","00230 Purine metabolism",156,0.425636176131384,1.94229809948678,4.07736243484955e-07,7.96653891116757e-06,4.75417158395413e-06,5659,"tags=42%, list=22%, signal=33%","NVE21389/NVE8178/NVE21387/NVE11538/NVE14036/NVE12649/NVE21385/NVE12389/NVE4003/NVE21513/NVE4002/NVE25606/NVE1226/NVE22347/NVE2271/NVE18699/NVE2820/NVE21390/NVE4158/NVE1975/NVE21271/NVE959/NVE15381/NVE635/NVE22651/NVE20479/NVE16619/NVE22976/NVE23796/NVE1227/NVE8233/NVE224/NVE20491/NVE15927/NVE16945/NVE16423/NVE2394/NVE632/NVE13423/NVE24635/NVE5488/NVE4288/NVE13144/NVE17003/NVE9058/NVE18702/NVE2869/NVE5872/NVE2496/NVE15851/NVE4316/NVE5619/NVE11878/NVE8001/NVE4020/NVE14831/NVE9600/NVE2438/NVE17182/NVE17603/NVE1176/NVE93/NVE7747/NVE14969/NVE6441/NVE5540",157,66,0.420382165605096
"8","00240 Pyrimidine metabolism","00240 Pyrimidine metabolism",96,0.602542877816127,2.56254397389388,1e-10,8.46666666666667e-09,5.05263157894737e-09,5784,"tags=58%, list=23%, signal=45%","NVE21389/NVE25467/NVE8178/NVE21387/NVE16451/NVE21385/NVE25609/NVE4003/NVE21513/NVE4002/NVE4370/NVE25606/NVE6339/NVE2271/NVE2820/NVE15202/NVE8817/NVE21390/NVE4158/NVE959/NVE15381/NVE635/NVE20479/NVE7509/NVE17882/NVE22976/NVE23796/NVE224/NVE15927/NVE16945/NVE16423/NVE16410/NVE8302/NVE21957/NVE632/NVE24635/NVE7641/NVE3710/NVE4288/NVE13144/NVE2869/NVE5872/NVE4104/NVE3467/NVE23310/NVE4316/NVE11878/NVE9600/NVE2438/NVE17182/NVE1176/NVE7747/NVE14969/NVE6441/NVE5540/NVE10152",98,56,0.571428571428571
"9","00260 Glycine, serine and threonine","00260 Glycine, serine and threonine",62,0.486846113822209,1.89312746922293,8.81575167320538e-05,0.000829333675923765,0.000494919392179951,6176,"tags=50%, list=24%, signal=38%","NVE8919/NVE1567/NVE2223/NVE16526/NVE4032/NVE19211/NVE23028/NVE21878/NVE11589/NVE11588/NVE15723/NVE1420/NVE15724/NVE16768/NVE14487/NVE24881/NVE11577/NVE1238/NVE6634/NVE24608/NVE11903/NVE10762/NVE24356/NVE16854/NVE4075/NVE1418/NVE21473/NVE329/NVE8143/NVE8142/NVE14014",62,31,0.5
"10","00280 Valine, leucine and isoleucin","00280 Valine, leucine and isoleucin",59,0.549518647321754,2.12568182419361,3.03921365551515e-06,4.54094275588734e-05,2.70988709841598e-05,3735,"tags=44%, list=15%, signal=38%","NVE3085/NVE9899/NVE22615/NVE7824/NVE6472/NVE25426/NVE19050/NVE15723/NVE4103/NVE9430/NVE15724/NVE3478/NVE6028/NVE4306/NVE13010/NVE2445/NVE19928/NVE8412/NVE14844/NVE11540/NVE3738/NVE7486/NVE12851/NVE2365/NVE3266/NVE12850",60,26,0.433333333333333
"11","00310 Lysine degradation","00310 Lysine degradation",67,0.375344744794276,1.4742697936849,0.0142347701302896,0.0475741001722835,0.0283906772681676,3500,"tags=33%, list=14%, signal=28%","NVE21647/NVE24812/NVE17279/NVE22615/NVE22362/NVE5120/NVE25426/NVE3464/NVE15723/NVE9430/NVE15724/NVE3478/NVE6028/NVE2445/NVE19524/NVE2255/NVE21130/NVE1591/NVE3738/NVE7486/NVE2365/NVE25321",68,22,0.323529411764706
"12","00330 Arginine and proline metaboli","00330 Arginine and proline metaboli",75,0.389628015474437,1.56470092206899,0.00290655713497872,0.0150666431078489,0.00899128308135199,3404,"tags=33%, list=13%, signal=29%","NVE8919/NVE572/NVE25706/NVE10253/NVE5994/NVE22615/NVE18323/NVE20797/NVE1658/NVE15723/NVE21057/NVE5391/NVE15724/NVE15614/NVE2445/NVE3370/NVE16855/NVE2516/NVE21536/NVE6634/NVE3738/NVE1394/NVE5992/NVE24608/NVE3355",77,25,0.324675324675325
