"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","ClusterSize","Count","CountClusterRatio"
"1","00010 Glycolysis / Gluconeogenesis","00010 Glycolysis / Gluconeogenesis",46,0.429765318601712,1.58647862302748,0.0121759492973183,0.0483232987737318,0.0284372500036051,2734,"tags=28%, list=11%, signal=25%","NVE2496/NVE19211/NVE7745/NVE9159/NVE22615/NVE22318/NVE15723/NVE4573/NVE22317/NVE2445/NVE24356/NVE15724/NVE21377",47,13,0.276595744680851
"2","00020 Citrate cycle (TCA cycle)","00020 Citrate cycle (TCA cycle)",40,0.554596494756843,1.97020683629698,0.000183619554397582,0.00202779855726026,0.00119331701256095,5645,"tags=55%, list=22%, signal=43%","NVE22444/NVE23257/NVE14766/NVE22362/NVE19524/NVE14208/NVE14193/NVE22318/NVE3566/NVE22317/NVE6571/NVE363/NVE10089/NVE2309/NVE17322/NVE19140/NVE22316/NVE8142/NVE14769/NVE22445/NVE8143/NVE1879",41,22,0.536585365853659
"3","00030 Pentose phosphate pathway","00030 Pentose phosphate pathway",27,0.524683177245124,1.69183030340504,0.00828305339670467,0.0356592468264913,0.0209847204697959,4558,"tags=52%, list=18%, signal=43%","NVE2496/NVE7745/NVE9159/NVE4694/NVE4573/NVE7806/NVE3275/NVE1375/NVE25962/NVE172/NVE12987/NVE9774/NVE5488/NVE15619",27,14,0.518518518518518
"4","00051 Fructose and mannose metaboli","00051 Fructose and mannose metaboli",28,0.515196956463004,1.6764142834751,0.0117242281746679,0.0472691104185023,0.027816882218928,4487,"tags=46%, list=18%, signal=38%","NVE13129/NVE20000/NVE14848/NVE6592/NVE9159/NVE8660/NVE274/NVE20342/NVE865/NVE25360/NVE216/NVE18686/NVE22761",29,13,0.448275862068966
"5","00071 Fatty acid degradation","00071 Fatty acid degradation",51,0.554699005779591,2.08000286540136,2.34093384005387e-05,0.000396398130249121,0.000233272003710631,4229,"tags=45%, list=17%, signal=38%","NVE3085/NVE22615/NVE596/NVE15723/NVE1990/NVE25426/NVE3478/NVE2445/NVE2365/NVE15724/NVE12750/NVE9430/NVE24526/NVE2793/NVE6028/NVE25321/NVE14566/NVE7110/NVE14567/NVE7486/NVE3738/NVE2792/NVE1991",52,23,0.442307692307692
"6","00190 Oxidative phosphorylation","00190 Oxidative phosphorylation",74,0.527093564428933,2.12047116486536,3.69816916382218e-06,7.82779139675694e-05,4.60649141458552e-05,5933,"tags=51%, list=23%, signal=39%","NVE18114/NVE22193/NVE24009/NVE3078/NVE23976/NVE4127/NVE21011/NVE10857/NVE14193/NVE12849/NVE878/NVE15677/NVE9619/NVE3014/NVE5553/NVE20120/NVE23200/NVE17215/NVE1330/NVE2309/NVE12526/NVE11184/NVE1074/NVE10619/NVE19946/NVE9329/NVE4582/NVE24480/NVE5007/NVE1958/NVE10852/NVE12527/NVE23962/NVE26155/NVE1879/NVE11721/NVE13125/NVE13302",75,38,0.506666666666667
"7","00220 Arginine biosynthesis","00220 Arginine biosynthesis",20,0.708187866538795,2.10910869552125,0.000172669599972909,0.00199354901786904,0.00117316187541402,714,"tags=30%, list=3%, signal=29%","NVE11847/NVE17569/NVE11846/NVE572/NVE8185/NVE24297",20,6,0.3
"8","00230 Purine metabolism","00230 Purine metabolism",156,0.360795016692351,1.62354483309027,0.000283371576304334,0.00276832232235772,0.00162909975041358,4912,"tags=32%, list=19%, signal=26%","NVE2496/NVE21389/NVE14036/NVE21271/NVE1226/NVE22347/NVE12649/NVE12389/NVE24635/NVE1227/NVE2271/NVE25606/NVE4003/NVE16619/NVE8178/NVE22976/NVE18699/NVE17003/NVE15927/NVE2820/NVE21513/NVE8233/NVE224/NVE16945/NVE22651/NVE2394/NVE23796/NVE4002/NVE13423/NVE959/NVE1975/NVE4158/NVE11538/NVE12505/NVE1446/NVE635/NVE5619/NVE16423/NVE15381/NVE632/NVE9058/NVE17603/NVE5488/NVE20479/NVE11878/NVE4288/NVE8001/NVE20491/NVE2438/NVE21387",157,50,0.318471337579618
"9","00240 Pyrimidine metabolism","00240 Pyrimidine metabolism",96,0.488837042434047,2.04050456828713,1.2046961993061e-06,3.05992834623748e-05,1.80070379264701e-05,5221,"tags=44%, list=21%, signal=35%","NVE21389/NVE16451/NVE17882/NVE6339/NVE25467/NVE24635/NVE2271/NVE25606/NVE15202/NVE4003/NVE4370/NVE8178/NVE22976/NVE15927/NVE2820/NVE21513/NVE224/NVE7509/NVE16945/NVE25609/NVE23796/NVE4002/NVE959/NVE4158/NVE635/NVE16423/NVE15381/NVE632/NVE23310/NVE21957/NVE3467/NVE16410/NVE8817/NVE20479/NVE11878/NVE7641/NVE4288/NVE2438/NVE21387/NVE4104/NVE5872/NVE10152",98,42,0.428571428571429
"10","00250 Alanine, aspartate and glutam","00250 Alanine, aspartate and glutam",38,0.595026432718435,2.06675253237871,4.59340830239968e-05,0.000648180949338621,0.000381440923357166,714,"tags=24%, list=3%, signal=23%","NVE11847/NVE17569/NVE11846/NVE8185/NVE14036/NVE16181/NVE1567/NVE22347/NVE24297",39,9,0.230769230769231
"11","00260 Glycine, serine and threonine","00260 Glycine, serine and threonine",62,0.444563711593958,1.73029995463999,0.00108027233236549,0.00857466163815106,0.00504600892091774,6349,"tags=53%, list=25%, signal=40%","NVE8919/NVE23028/NVE2223/NVE1567/NVE16526/NVE19211/NVE21878/NVE15723/NVE1420/NVE4032/NVE11577/NVE24356/NVE15724/NVE24881/NVE11589/NVE21473/NVE11903/NVE16768/NVE1238/NVE14487/NVE24483/NVE18317/NVE24608/NVE8142/NVE16854/NVE6634/NVE3214/NVE8143/NVE329/NVE10762/NVE22042/NVE14014/NVE1761",62,33,0.532258064516129
"12","00280 Valine, leucine and isoleucin","00280 Valine, leucine and isoleucin",59,0.561368866842189,2.16086957518197,6.090467778285e-06,0.000110498486834599,6.50260469561256e-05,6604,"tags=59%, list=26%, signal=44%","NVE9899/NVE3085/NVE7824/NVE22615/NVE4103/NVE15723/NVE25426/NVE3478/NVE19050/NVE6472/NVE13010/NVE2445/NVE8412/NVE4306/NVE2365/NVE15724/NVE9430/NVE6028/NVE12850/NVE19928/NVE7486/NVE14844/NVE11540/NVE8921/NVE3738/NVE12851/NVE18909/NVE8142/NVE22802/NVE8143/NVE4948/NVE3678/NVE8413/NVE1761/NVE3266",60,35,0.583333333333333
"13","00520 Amino sugar and nucleotide su","00520 Amino sugar and nucleotide su",54,0.486825370159785,1.85283790092808,0.000473052974473333,0.00445020205615654,0.00261885077486211,1720,"tags=30%, list=7%, signal=28%","NVE14301/NVE1264/NVE2496/NVE13129/NVE21452/NVE16181/NVE25028/NVE20000/NVE14848/NVE20151/NVE6592/NVE8660/NVE274/NVE4573/NVE865/NVE9147",54,16,0.296296296296296
"14","00564 Glycerophospholipid metabolis","00564 Glycerophospholipid metabolis",65,0.427384128149023,1.67926129366001,0.00199715304310406,0.0133493913933797,0.00785583745486914,8534,"tags=54%, list=34%, signal=36%","NVE9413/NVE16749/NVE23561/NVE17289/NVE25492/NVE640/NVE4030/NVE8432/NVE16747/NVE9119/NVE15187/NVE25097/NVE24303/NVE10565/NVE12677/NVE16150/NVE9854/NVE14910/NVE4639/NVE20139/NVE10763/NVE11601/NVE17903/NVE3885/NVE19177/NVE18269/NVE20906/NVE23545/NVE14198/NVE24380/NVE20264/NVE3413/NVE11536/NVE8752/NVE24115",65,35,0.538461538461538
"15","00620 Pyruvate metabolism","00620 Pyruvate metabolism",49,0.540794987240192,2.01556086828225,6.90310795287101e-05,0.000922836536857493,0.000543069988536113,5609,"tags=47%, list=22%, signal=37%","NVE22444/NVE23257/NVE3062/NVE21878/NVE22615/NVE22318/NVE15723/NVE22317/NVE2445/NVE2365/NVE15724/NVE21377/NVE8805/NVE7486/NVE1238/NVE287/NVE3738/NVE22316/NVE8806/NVE8142/NVE22445/NVE11482/NVE8143",49,23,0.469387755102041
"16","00630 Glyoxylate and dicarboxylate ","00630 Glyoxylate and dicarboxylate ",44,0.487295729086042,1.7767432777758,0.00106034402141959,0.00857466163815106,0.00504600892091774,5609,"tags=52%, list=22%, signal=41%","NVE1567/NVE16526/NVE3124/NVE3062/NVE21878/NVE14208/NVE4306/NVE363/NVE2365/NVE21057/NVE11589/NVE7486/NVE11903/NVE16768/NVE1238/NVE24483/NVE9/NVE19140/NVE18909/NVE8142/NVE1393/NVE3214/NVE8143",45,23,0.511111111111111
"17","00650 Butanoate metabolism","00650 Butanoate metabolism",22,0.710360733744246,2.17130486414323,2.9454055505975e-05,0.000467583131157354,0.000275162886963714,3744,"tags=50%, list=15%, signal=43%","NVE3085/NVE4103/NVE14193/NVE25426/NVE3478/NVE6472/NVE2365/NVE9430/NVE6028/NVE7486/NVE8921",23,11,0.478260869565217
"18","00900 Terpenoid backbone biosynthes","00900 Terpenoid backbone biosynthes",21,0.71766340886648,2.1821207272474,3.40797544309404e-05,0.000509191625026993,0.000299648614810746,6298,"tags=71%, list=25%, signal=54%","NVE1569/NVE16406/NVE6472/NVE1377/NVE2365/NVE23535/NVE12023/NVE6681/NVE7486/NVE1459/NVE23543/NVE6392/NVE15891/NVE21603/NVE18942",21,15,0.714285714285714
"19","00910 Nitrogen metabolism","00910 Nitrogen metabolism",18,0.619514682704688,1.8075973909724,0.00488552915591135,0.0248184881120297,0.0146051608450403,714,"tags=28%, list=3%, signal=27%","NVE11847/NVE17569/NVE11846/NVE8185/NVE24297",18,5,0.277777777777778
"20","00920 Sulfur metabolism","00920 Sulfur metabolism",19,0.598536800245283,1.76278572465742,0.00646224118061819,0.0293108796406611,0.0172488392414997,5559,"tags=58%, list=22%, signal=45%","NVE6951/NVE23390/NVE1226/NVE7849/NVE1227/NVE4786/NVE80/NVE2617/NVE3083/NVE3084/NVE21508",19,11,0.578947368421053
"21","00970 Aminoacyl-tRNA biosynthesis","00970 Aminoacyl-tRNA biosynthesis",32,0.547669217034018,1.81969715795309,0.00211548408798051,0.0137777681627448,0.0081079282184408,3979,"tags=53%, list=16%, signal=45%","NVE21455/NVE13794/NVE6648/NVE24144/NVE1502/NVE10787/NVE11322/NVE5758/NVE20950/NVE11761/NVE1774/NVE6649/NVE24728/NVE17197/NVE12246/NVE3272/NVE9643",33,17,0.515151515151515
