"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","ClusterSize","Count","CountClusterRatio"
"1","00020 Citrate cycle (TCA cycle)","00020 Citrate cycle (TCA cycle)",40,0.534477146048383,1.87146793251984,0.000270394730018518,0.0022154923040227,0.00131295233930893,5932,"tags=55%, list=23%, signal=42%","NVE22444/NVE23257/NVE14766/NVE22362/NVE14208/NVE14193/NVE19524/NVE3566/NVE6571/NVE22317/NVE363/NVE22318/NVE10089/NVE2309/NVE22445/NVE17322/NVE22316/NVE14769/NVE19140/NVE8143/NVE8142/NVE1879",41,22,0.536585365853659
"2","00030 Pentose phosphate pathway","00030 Pentose phosphate pathway",27,0.549273513771047,1.76154623620727,0.00459858739471285,0.021237112695583,0.0125856076065825,4194,"tags=52%, list=17%, signal=43%","NVE2496/NVE7745/NVE9159/NVE4694/NVE3275/NVE7806/NVE1375/NVE4573/NVE25962/NVE15619/NVE12987/NVE172/NVE5488/NVE5610",27,14,0.518518518518518
"3","00051 Fructose and mannose metaboli","00051 Fructose and mannose metaboli",28,0.586391642210401,1.9036224977668,0.00218971076806186,0.0129345705834351,0.00766532778048581,3066,"tags=46%, list=12%, signal=41%","NVE13129/NVE20000/NVE8660/NVE14848/NVE6592/NVE9159/NVE274/NVE20342/NVE216/NVE865/NVE18686/NVE25360/NVE22761",29,13,0.448275862068966
"4","00071 Fatty acid degradation","00071 Fatty acid degradation",51,0.580787497374923,2.14041145290323,3.57326365180326e-06,6.98160744275405e-05,4.13746317577219e-05,4272,"tags=49%, list=17%, signal=41%","NVE3085/NVE596/NVE22615/NVE15723/NVE25426/NVE3478/NVE2445/NVE1990/NVE6028/NVE7110/NVE9430/NVE15724/NVE12750/NVE24526/NVE2365/NVE14567/NVE14566/NVE25321/NVE21956/NVE2792/NVE2793/NVE7486/NVE3738/NVE3266/NVE1991",52,25,0.480769230769231
"5","00190 Oxidative phosphorylation","00190 Oxidative phosphorylation",74,0.540902451769688,2.11953281107961,6.82185041056966e-07,1.73275000428469e-05,1.02686800916996e-05,6147,"tags=53%, list=24%, signal=40%","NVE18114/NVE22193/NVE24009/NVE3078/NVE23976/NVE10857/NVE21011/NVE4127/NVE12849/NVE14193/NVE20120/NVE878/NVE23200/NVE9619/NVE11184/NVE3014/NVE1074/NVE2309/NVE24480/NVE15677/NVE17215/NVE1330/NVE5553/NVE19946/NVE12526/NVE10619/NVE5007/NVE23962/NVE10852/NVE1958/NVE4582/NVE9329/NVE13125/NVE12527/NVE13724/NVE26155/NVE13302/NVE1879/NVE11721",75,39,0.52
"6","00220 Arginine biosynthesis","00220 Arginine biosynthesis",20,0.654748695586131,1.95541043052751,0.000449543727029479,0.00317178074070799,0.00187967113933379,1056,"tags=30%, list=4%, signal=29%","NVE11847/NVE17569/NVE11846/NVE8185/NVE572/NVE24297",20,6,0.3
"7","00230 Purine metabolism","00230 Purine metabolism",156,0.374082629095455,1.69049672163783,3.82584590037104e-05,0.000524676370522399,0.000310935437151691,6650,"tags=44%, list=26%, signal=33%","NVE21389/NVE2496/NVE14036/NVE12389/NVE12649/NVE1226/NVE8178/NVE11538/NVE21271/NVE22347/NVE25606/NVE24635/NVE16619/NVE4003/NVE2271/NVE1227/NVE21513/NVE18699/NVE1975/NVE2820/NVE22651/NVE8233/NVE22976/NVE4002/NVE23796/NVE2394/NVE15381/NVE959/NVE13423/NVE635/NVE15927/NVE4158/NVE16945/NVE21387/NVE224/NVE17003/NVE16423/NVE632/NVE4288/NVE20479/NVE20491/NVE8001/NVE9058/NVE5488/NVE5872/NVE12505/NVE4020/NVE11878/NVE13144/NVE5619/NVE2438/NVE18702/NVE17603/NVE21385/NVE2869/NVE6441/NVE21390/NVE6900/NVE15851/NVE17182/NVE22652/NVE14969/NVE15966/NVE5540/NVE1446/NVE8336/NVE14831/NVE9600/NVE19169",157,69,0.439490445859873
"8","00240 Pyrimidine metabolism","00240 Pyrimidine metabolism",96,0.532728516470278,2.23043607217809,5.92748173234606e-09,3.0111607200318e-07,1.78448397415892e-07,6650,"tags=57%, list=26%, signal=42%","NVE21389/NVE25467/NVE16451/NVE17882/NVE8178/NVE4370/NVE6339/NVE15202/NVE25606/NVE24635/NVE4003/NVE25609/NVE2271/NVE21513/NVE2820/NVE22976/NVE4002/NVE23796/NVE15381/NVE959/NVE635/NVE7509/NVE15927/NVE4158/NVE16945/NVE3467/NVE21387/NVE224/NVE16423/NVE632/NVE8817/NVE7641/NVE4288/NVE21957/NVE20479/NVE10152/NVE16410/NVE5872/NVE23310/NVE11878/NVE13144/NVE2438/NVE4104/NVE21385/NVE2869/NVE6441/NVE21390/NVE6900/NVE3710/NVE17182/NVE14969/NVE5540/NVE8336/NVE9600/NVE19169",98,55,0.561224489795918
"9","00250 Alanine, aspartate and glutam","00250 Alanine, aspartate and glutam",38,0.544075868995228,1.88787922259221,0.000375763472401494,0.00289224006030241,0.0017140088214805,1056,"tags=24%, list=4%, signal=23%","NVE11847/NVE17569/NVE11846/NVE8185/NVE14036/NVE1567/NVE16181/NVE22347/NVE24297",39,9,0.230769230769231
"10","00260 Glycine, serine and threonine","00260 Glycine, serine and threonine",62,0.503510670569499,1.92904608566409,8.06677491916778e-05,0.000788121528351688,0.000467059173453342,6086,"tags=56%, list=24%, signal=43%","NVE8919/NVE2223/NVE1567/NVE23028/NVE16526/NVE19211/NVE21878/NVE4032/NVE1420/NVE15723/NVE11577/NVE11589/NVE15724/NVE24881/NVE16768/NVE14487/NVE6634/NVE1238/NVE11588/NVE11903/NVE22042/NVE21473/NVE16854/NVE24608/NVE329/NVE10762/NVE24356/NVE24483/NVE4075/NVE18317/NVE8143/NVE1418/NVE8142/NVE3214/NVE14014",62,35,0.564516129032258
"11","00280 Valine, leucine and isoleucin","00280 Valine, leucine and isoleucin",59,0.564800498699909,2.15766282842837,1.91065054681333e-06,4.04421032408821e-05,2.39669322977461e-05,4155,"tags=46%, list=16%, signal=38%","NVE3085/NVE9899/NVE7824/NVE4103/NVE22615/NVE15723/NVE19050/NVE25426/NVE3478/NVE2445/NVE6472/NVE6028/NVE13010/NVE9430/NVE15724/NVE19928/NVE8412/NVE4306/NVE11540/NVE2365/NVE12850/NVE14844/NVE8921/NVE7486/NVE12851/NVE3738/NVE3266",60,27,0.45
"12","00350 Tyrosine metabolism","00350 Tyrosine metabolism",20,0.548994389502109,1.63957463798,0.0123923212688174,0.0432928883950244,0.0256563739763302,6536,"tags=50%, list=26%, signal=37%","NVE2908/NVE7545/NVE24621/NVE20936/NVE18014/NVE18494/NVE24608/NVE9995/NVE19244/NVE10082",20,10,0.5
"13","00430 Taurine and hypotaurine metab","00430 Taurine and hypotaurine metab",16,0.624216688527549,1.75229263546427,0.00784607431119545,0.0321435947587684,0.019049042894753,6098,"tags=69%, list=24%, signal=52%","NVE6399/NVE15516/NVE4872/NVE24826/NVE20501/NVE3462/NVE17163/NVE3897/NVE2784/NVE23920/NVE11884",17,11,0.647058823529412
"14","00480 Glutathione metabolism","00480 Glutathione metabolism",68,0.424903722808193,1.6549424678317,0.000895664666257901,0.00614861689809478,0.00364381357823271,6281,"tags=46%, list=25%, signal=34%","NVE21389/NVE1654/NVE20797/NVE15516/NVE7806/NVE3830/NVE4872/NVE17309/NVE16413/NVE21387/NVE15195/NVE16855/NVE20501/NVE3462/NVE17163/NVE15614/NVE25243/NVE3721/NVE10361/NVE20508/NVE19597/NVE12460/NVE23960/NVE21385/NVE2784/NVE23920/NVE3076/NVE18866/NVE21390/NVE11884/NVE2864",69,31,0.449275362318841
