"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","ClusterSize","Count","CountClusterRatio"
"1","00010 Glycolysis / Gluconeogenesis","00010 Glycolysis / Gluconeogenesis",46,0.453320776343924,1.6563322782039,0.00325087803181064,0.0131067146044429,0.00689827084444364,6352,"tags=50%, list=25%, signal=38%","NVE2496/NVE19211/NVE9159/NVE15723/NVE4573/NVE7745/NVE2445/NVE22615/NVE22317/NVE22318/NVE22316/NVE15724/NVE19277/NVE21377/NVE22761/NVE8142/NVE3738/NVE1761/NVE8143/NVE13938/NVE14157/NVE15809/NVE4430",47,23,0.48936170212766
"2","00020 Citrate cycle (TCA cycle)","00020 Citrate cycle (TCA cycle)",40,0.582879704683751,2.04526605465421,4.44573111601225e-05,0.000470506543111297,0.000247635022690156,5633,"tags=55%, list=22%, signal=43%","NVE22444/NVE23257/NVE14766/NVE19524/NVE14208/NVE22362/NVE14193/NVE10089/NVE3566/NVE363/NVE22317/NVE6571/NVE22318/NVE22316/NVE22445/NVE2309/NVE8142/NVE19140/NVE14769/NVE8143/NVE17322/NVE1879",41,22,0.536585365853659
"3","00030 Pentose phosphate pathway","00030 Pentose phosphate pathway",27,0.599945839431175,1.96007688725286,0.000554772984962797,0.00313138529290112,0.00164809752257954,3663,"tags=52%, list=14%, signal=44%","NVE2496/NVE9159/NVE4573/NVE7745/NVE4694/NVE7806/NVE1375/NVE25962/NVE15619/NVE3275/NVE5488/NVE12987/NVE5610/NVE172",27,14,0.518518518518518
"4","00051 Fructose and mannose metaboli","00051 Fructose and mannose metaboli",28,0.606242334850645,2.0019839944365,0.000261847021787513,0.0017975444198386,0.000946076010441369,2132,"tags=39%, list=8%, signal=36%","NVE13129/NVE8660/NVE20000/NVE6592/NVE865/NVE9159/NVE14848/NVE274/NVE216/NVE20342/NVE18686",29,11,0.379310344827586
"5","00053 Ascorbate and aldarate metabo","00053 Ascorbate and aldarate metabo",25,0.540476300450394,1.73686027644806,0.00643518182883422,0.0217938157936519,0.0114704293650799,6127,"tags=52%, list=24%, signal=39%","NVE15723/NVE2445/NVE22615/NVE8495/NVE15724/NVE7572/NVE5610/NVE7259/NVE3738/NVE14938/NVE1761/NVE826/NVE14181",25,13,0.52
"6","00062 Fatty acid elongation","00062 Fatty acid elongation",19,0.624952427014764,1.86569562731155,0.00214532784998348,0.00955988199817201,0.00503151684114316,4503,"tags=53%, list=18%, signal=43%","NVE9430/NVE3478/NVE25426/NVE20915/NVE6028/NVE3266/NVE3278/NVE20916/NVE26028/NVE22737",20,10,0.5
"7","00071 Fatty acid degradation","00071 Fatty acid degradation",51,0.597684494129077,2.20038867842536,1.24730862323339e-06,2.26297421643772e-05,1.19103906128301e-05,4644,"tags=53%, list=18%, signal=43%","NVE3085/NVE596/NVE15723/NVE24526/NVE2445/NVE9430/NVE3478/NVE25426/NVE22615/NVE1990/NVE2365/NVE21956/NVE14567/NVE7110/NVE6028/NVE2793/NVE15724/NVE25321/NVE3266/NVE2792/NVE7486/NVE12750/NVE4948/NVE3738/NVE9429/NVE14566/NVE1991",52,27,0.519230769230769
"8","00190 Oxidative phosphorylation","00190 Oxidative phosphorylation",74,0.556560288656175,2.26236105734475,1.55516389186152e-07,3.59101480484388e-06,1.89000779202309e-06,5680,"tags=50%, list=22%, signal=39%","NVE18114/NVE22193/NVE24009/NVE23976/NVE21011/NVE3078/NVE4127/NVE10857/NVE20120/NVE14193/NVE12849/NVE878/NVE11184/NVE23200/NVE5553/NVE10619/NVE12526/NVE1074/NVE1330/NVE17215/NVE9619/NVE24480/NVE15677/NVE2309/NVE19946/NVE5007/NVE26155/NVE1958/NVE3014/NVE23962/NVE4582/NVE9329/NVE13125/NVE25480/NVE10852/NVE1879/NVE13724",75,37,0.493333333333333
"9","00220 Arginine biosynthesis","00220 Arginine biosynthesis",20,0.631694597809156,1.91564478202265,0.00192579076149417,0.00889365188035489,0.0046808694107131,1401,"tags=30%, list=6%, signal=28%","NVE11846/NVE11847/NVE17569/NVE8185/NVE572/NVE24297",20,6,0.3
"10","00230 Purine metabolism","00230 Purine metabolism",156,0.389005463749155,1.75250814393902,9.63598297855145e-06,0.000135974426475115,7.15654876184815e-05,6302,"tags=44%, list=25%, signal=33%","NVE2496/NVE11538/NVE21389/NVE12389/NVE14036/NVE1226/NVE22651/NVE1975/NVE24635/NVE2394/NVE12649/NVE13423/NVE16619/NVE8233/NVE4003/NVE8178/NVE632/NVE21387/NVE4002/NVE21513/NVE25606/NVE2820/NVE15381/NVE635/NVE224/NVE18699/NVE4020/NVE16945/NVE21271/NVE24035/NVE15927/NVE17003/NVE23796/NVE4158/NVE9058/NVE5488/NVE8001/NVE12505/NVE16423/NVE1227/NVE5872/NVE959/NVE2869/NVE2271/NVE22976/NVE20491/NVE680/NVE6900/NVE14831/NVE11878/NVE6441/NVE1446/NVE13144/NVE22652/NVE5619/NVE14969/NVE15851/NVE14249/NVE25246/NVE2438/NVE4288/NVE5540/NVE19169/NVE7364/NVE18702/NVE1176/NVE15809/NVE14346/NVE93",157,69,0.439490445859873
"11","00240 Pyrimidine metabolism","00240 Pyrimidine metabolism",96,0.537465401017352,2.26516241678559,3.84138443267263e-09,1.3938737798555e-07,7.33617778871315e-08,6244,"tags=53%, list=25%, signal=40%","NVE21389/NVE16451/NVE4370/NVE17882/NVE24635/NVE3467/NVE6339/NVE4003/NVE15202/NVE8178/NVE25609/NVE25467/NVE632/NVE21387/NVE4002/NVE21513/NVE25606/NVE2820/NVE15381/NVE7509/NVE635/NVE224/NVE16945/NVE24035/NVE15927/NVE23796/NVE4158/NVE16423/NVE7641/NVE5872/NVE959/NVE2869/NVE2271/NVE10152/NVE22976/NVE6900/NVE23310/NVE4104/NVE11878/NVE6441/NVE13144/NVE8302/NVE14969/NVE16410/NVE2438/NVE4288/NVE5540/NVE19169/NVE7364/NVE1176/NVE21957",98,51,0.520408163265306
"12","00250 Alanine, aspartate and glutam","00250 Alanine, aspartate and glutam",38,0.562011936338568,1.94237321084453,0.000188524268837014,0.00145106558438186,0.000763718728622034,1401,"tags=24%, list=6%, signal=22%","NVE11846/NVE11847/NVE17569/NVE8185/NVE16181/NVE14036/NVE1567/NVE3467/NVE24297",39,9,0.230769230769231
"13","00260 Glycine, serine and threonine","00260 Glycine, serine and threonine",62,0.508715865238633,1.95010582480893,3.28266148557988e-05,0.000362520007537952,0.000190800003967343,5401,"tags=48%, list=21%, signal=38%","NVE8919/NVE2223/NVE4032/NVE23028/NVE19211/NVE1567/NVE21878/NVE16526/NVE15723/NVE11589/NVE1420/NVE6634/NVE22042/NVE24881/NVE11577/NVE21473/NVE15724/NVE11903/NVE1238/NVE14487/NVE16768/NVE24483/NVE8142/NVE329/NVE22041/NVE16854/NVE1761/NVE11588/NVE3214/NVE8143",62,30,0.483870967741935
"14","00280 Valine, leucine and isoleucin","00280 Valine, leucine and isoleucin",59,0.634886527132808,2.41792980688095,5.10072675346306e-09,1.56364190914667e-07,8.22969425866666e-08,4672,"tags=54%, list=18%, signal=44%","NVE7824/NVE3085/NVE15723/NVE9899/NVE2445/NVE9430/NVE3478/NVE25426/NVE8412/NVE22615/NVE19050/NVE2365/NVE13010/NVE4103/NVE11540/NVE6028/NVE8921/NVE19928/NVE14844/NVE12850/NVE6472/NVE15724/NVE4306/NVE3266/NVE7486/NVE8142/NVE18909/NVE4948/NVE3738/NVE3678/NVE6238/NVE12851",60,32,0.533333333333333
"15","00310 Lysine degradation","00310 Lysine degradation",67,0.375006192108811,1.46528882666378,0.0193071578683821,0.0485546346392976,0.0255550708627882,5205,"tags=42%, list=21%, signal=33%","NVE5120/NVE19524/NVE15723/NVE2445/NVE9430/NVE3478/NVE25426/NVE21647/NVE22362/NVE2255/NVE22615/NVE2365/NVE24812/NVE6028/NVE23354/NVE17279/NVE15724/NVE25321/NVE3464/NVE7486/NVE21130/NVE5118/NVE4232/NVE3738/NVE16854/NVE5117/NVE1761/NVE12881",68,28,0.411764705882353
"16","00350 Tyrosine metabolism","00350 Tyrosine metabolism",20,0.5654702946507,1.71481634177863,0.00993435337563906,0.0290037443380727,0.0152651285989856,7830,"tags=60%, list=31%, signal=41%","NVE2908/NVE7545/NVE18014/NVE24621/NVE20936/NVE18494/NVE10082/NVE4430/NVE18542/NVE24608/NVE25106/NVE15783",20,12,0.6
"17","00380 Tryptophan metabolism","00380 Tryptophan metabolism",51,0.433112097573437,1.59451176222724,0.0058658979689698,0.0206935845016434,0.0108913602640229,4679,"tags=39%, list=19%, signal=32%","NVE19524/NVE15723/NVE2445/NVE9430/NVE3478/NVE25426/NVE22615/NVE2365/NVE6028/NVE8531/NVE15724/NVE25321/NVE17332/NVE2516/NVE18494/NVE7486/NVE9831/NVE13500/NVE3738/NVE24400",52,20,0.384615384615385
"18","00410 beta-Alanine metabolism","00410 beta-Alanine metabolism",28,0.508624077690977,1.67962084497649,0.0107996843938848,0.0302287979197106,0.015909893641953,4303,"tags=43%, list=17%, signal=36%","NVE15723/NVE2445/NVE3478/NVE25426/NVE22615/NVE13010/NVE13555/NVE6028/NVE15724/NVE20797/NVE4104/NVE3738",30,12,0.4
