"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","ClusterSize","Count","CountClusterRatio"
"1","00051 Fructose and mannose metaboli","00051 Fructose and mannose metaboli",28,0.605911730256485,1.95809960779629,0.000526911838870534,0.0061669275729432,0.00414024975887608,2886,"tags=46%, list=11%, signal=41%","NVE13129/NVE14848/NVE20000/NVE8660/NVE9159/NVE216/NVE25360/NVE274/NVE6592/NVE21975/NVE18686/NVE20342/NVE22761",29,13,0.448275862068966
"2","00071 Fatty acid degradation","00071 Fatty acid degradation",51,0.493287102712005,1.7980072454498,0.000764851518756378,0.00784414158285517,0.0052662699395878,4499,"tags=45%, list=18%, signal=37%","NVE3085/NVE6028/NVE1990/NVE21956/NVE596/NVE2445/NVE7110/NVE1991/NVE14566/NVE15724/NVE2792/NVE12750/NVE12500/NVE3478/NVE24526/NVE3266/NVE25321/NVE15723/NVE22615/NVE25426/NVE9430/NVE14567/NVE2069",52,23,0.442307692307692
"3","00190 Oxidative phosphorylation","00190 Oxidative phosphorylation",74,0.419990751506996,1.65422195825013,0.00209452710588629,0.0148294768000981,0.00995596867640236,6119,"tags=41%, list=24%, signal=31%","NVE18114/NVE23976/NVE24009/NVE22193/NVE3078/NVE10857/NVE21011/NVE4127/NVE12849/NVE9619/NVE20120/NVE19946/NVE23200/NVE1074/NVE3014/NVE14193/NVE24480/NVE878/NVE5007/NVE2309/NVE11184/NVE12527/NVE1330/NVE10852/NVE15677/NVE13125/NVE1958/NVE23962/NVE11721/NVE17215",75,30,0.4
"4","00230 Purine metabolism","00230 Purine metabolism",156,0.316744496424112,1.40080051432016,0.00847784935582986,0.0414110333919381,0.0278018541628428,5742,"tags=32%, list=23%, signal=25%","NVE21389/NVE22347/NVE2496/NVE12389/NVE24635/NVE14036/NVE1227/NVE16619/NVE11538/NVE12649/NVE21271/NVE8178/NVE15381/NVE23796/NVE25606/NVE2271/NVE635/NVE1226/NVE22976/NVE959/NVE1975/NVE18699/NVE8233/NVE4288/NVE13423/NVE2820/NVE15927/NVE21513/NVE2394/NVE22651/NVE16945/NVE8335/NVE18859/NVE8001/NVE16930/NVE16423/NVE8336/NVE4158/NVE4020/NVE4003/NVE20479/NVE13144/NVE4002/NVE11981/NVE15966/NVE2438/NVE17182/NVE4254/NVE14969/NVE16416",157,50,0.318471337579618
"5","00240 Pyrimidine metabolism","00240 Pyrimidine metabolism",96,0.459889205129963,1.90201993313441,1.60753986287965e-05,0.000314088557824178,0.000210867577155064,5700,"tags=41%, list=23%, signal=32%","NVE21389/NVE17882/NVE15202/NVE4370/NVE24635/NVE25467/NVE8178/NVE16451/NVE15381/NVE23796/NVE25606/NVE2271/NVE635/NVE22976/NVE959/NVE3467/NVE25609/NVE10152/NVE6339/NVE4288/NVE2820/NVE15927/NVE21513/NVE16945/NVE8335/NVE7641/NVE7509/NVE21957/NVE16423/NVE8336/NVE8817/NVE4158/NVE4003/NVE20479/NVE13144/NVE4002/NVE2438/NVE17182/NVE14969",98,39,0.397959183673469
"6","00250 Alanine, aspartate and glutam","00250 Alanine, aspartate and glutam",38,0.517266743656517,1.78311638926034,0.00210181560946272,0.0148294768000981,0.00995596867640236,2460,"tags=32%, list=10%, signal=29%","NVE17569/NVE11847/NVE11846/NVE8185/NVE22347/NVE14036/NVE1567/NVE16181/NVE3467/NVE24297/NVE16281/NVE16721",39,12,0.307692307692308
"7","00260 Glycine, serine and threonine","00260 Glycine, serine and threonine",62,0.466936315995028,1.79612364692058,0.000534143333089568,0.0061669275729432,0.00414024975887608,5446,"tags=48%, list=22%, signal=38%","NVE8919/NVE2223/NVE16526/NVE21878/NVE1567/NVE11588/NVE23028/NVE4032/NVE11577/NVE19211/NVE1420/NVE1749/NVE15724/NVE16768/NVE22042/NVE10762/NVE13868/NVE4075/NVE6634/NVE1418/NVE14487/NVE329/NVE15723/NVE1238/NVE22041/NVE16854/NVE11589/NVE24881/NVE18317/NVE24483",62,30,0.483870967741935
"8","00280 Valine, leucine and isoleucin","00280 Valine, leucine and isoleucin",59,0.463687905710654,1.75358221877562,0.00147761354081216,0.0125104613122096,0.0083990664425112,6395,"tags=44%, list=25%, signal=33%","NVE9899/NVE7824/NVE4103/NVE3085/NVE6028/NVE8921/NVE2445/NVE19928/NVE15724/NVE19050/NVE3478/NVE11540/NVE12850/NVE6472/NVE13010/NVE3266/NVE15723/NVE22615/NVE25426/NVE9430/NVE14844/NVE2365/NVE4306/NVE7486/NVE12851/NVE3678",60,26,0.433333333333333
"9","00350 Tyrosine metabolism","00350 Tyrosine metabolism",20,0.626733709395116,1.87490614710884,0.00262775322179336,0.0174814039252622,0.0117363756149709,1870,"tags=35%, list=7%, signal=32%","NVE2908/NVE7545/NVE19244/NVE24621/NVE20936/NVE18014/NVE18494",20,7,0.35
"10","00515 Mannose type O-glycan biosynt","00515 Mannose type O-glycan biosynt",22,0.594158237444171,1.81186978770497,0.00555277487856714,0.0293834337324178,0.0197269633843833,4683,"tags=41%, list=19%, signal=33%","NVE11295/NVE5447/NVE25990/NVE19611/NVE20908/NVE9653/NVE6433/NVE18562/NVE25188",22,9,0.409090909090909
