UniqueCount	AmbigCount
13	70
0	0
1	22
28	32
214	67
509	313
339	79
0	0
93	89
724	110
0	12
14	65
4	0
0	12
0	5
1	4
83	58
470	5
745	4
191	20
26	1
42	0
327	38
542	24
312	387
426	8
2	0
4	24
52	0
143	0
1265	809
141	156
96	178
21	0
293	90
164	1
1327	21
3149	21
90	0
55	2
296	361
4035	24
1324	123
1188	4
42896	218
236	27
891	4
3353	24
58	0
67	356
2761	21
400	2
374	0
37	24863
7	280
20	260
323	3
195	0
312	16
1633	5
143	0
54	0
329	4
22	0
907	3
284	2
66	10
137	61
42577	24974
146	22
179	69
62	2
100	3
291	13
69	9
651	156
198	2
827	4
449	0
604	97
243	1
10	0
21	11318
17	0
455	8
166	1
23	1
314	8
35	147
248	150
100	1
37	0
138	1
0	0
843	1
380	209
32	174
73	199
39	12
327	3
425	0
129	0
1313	9
307	10
109	3
929	10
76	1
1725	52
221	0
398	1
412	30
117	1
2	15983
1605	7505
145	32
8	50999
7	510594
2	91421
1	8
20	56
6	245910
11	511691
55	54
1	180947
1	0
698	28
1778	20
1252	37
636	334
5	262
323	0
33	7541
104	8
109	7
252	0
216	0
28	2
39	5794
107	3
551	4
282	1
151	0
71	0
180	1
14	1
30	0
47	0
48	3
36	19
77	0
66	1
29	0
553	151
175	5
148	0
135	3
0	0
293	387
1873	50
2407	55
0	75
50	1
120	277
19	3
31	17
9	3
2661	305
364	83
30	0
277	1
677	2
268	0
303	1
56	0
1797	17
16	45
0	25
0	23
38	1
59	163
28	29
49	2
63	0
101	139
5	1
16	12
6	51
308	41
831	121
536	0
362	6
391	5
1	0
15	11990
158	15
163	143
43	0
40	120
23	0
52	8
248	23
184	19
0	1295
264	2792
679	5015
6	5
127	0
260	3
292	7
677	4
719	9
123	3
61	3
943	2
311	3
166	4
2302	88
181	2
518	7
509	197
1161	654
648	4
5	214
580	1
1095	1640
164	2
172	3
7	1
5391	38
195	2
195	3
163	0
1570	7
9	0
404	58
25	117
266	8
192	6
55	0
0	0
3108	395
534	85
461	5
121	1
508	365
495	49
88	46
90	2
1073	201
79	0
175	7
2056	11
233	13
765	251
1	23
0	26
12	41
679	161
1	44
12	238
48	265
5	189
36	0
77	0
140	2
155	3
63	15
49	7
234	80
9	242
59	17
163	243
499	5
150	10
17	24
99	8
0	0
1	155
205	1
846	8
414	3
21	0
73	32
0	82
558	114
181	180
568	5
78	1
106	12
373	288
490	4
197	38
0	968
917	1270
568	169
549	42
742	4
4969	32
95	14
314	4
26	0
0	191
346	4498
139	1531
