"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","KO","Description"
"NVE100",350.003478274353,0.885709818330627,0.165407097722363,5.35472679544439,8.56857848946272e-08,1.63955777905429e-06,"K07152","SCO1_2; protein SCO1/2"
"NVE10002",1042.09924756827,0.339222081942676,0.110089617851892,3.08132672782137,0.00206080380290148,0.00883120497936377,"K08958","CSNK1G; casein kinase 1, gamma [EC:2.7.11.1]"
"NVE10007",96.1642999015484,0.463489857406061,0.187830263468497,2.46759946372432,0.013602242604691,0.041284896125395,NA,NA
"NVE1001",1736.22513959057,0.565035011627086,0.15033184106385,3.75858505841819,0.000170876949398314,0.00109467312406363,"K12373","HEXA_B; hexosaminidase [EC:3.2.1.52]"
"NVE10012",2630.82618221442,0.543329706695188,0.127327539631548,4.2671813832847,1.97958203673889e-05,0.000175766086817414,NA,NA
"NVE10014",297.645409936175,0.40621524857131,0.153668165889588,2.64345738897659,0.00820640942341951,0.0274468740753169,NA,NA
"NVE10015",206.560750475514,0.504384885018842,0.145974260286662,3.45530016064709,0.000549680505049005,0.00292323250804105,NA,NA
"NVE10016",620.247722097088,0.714025860526815,0.154293150791481,4.62772233805624,3.69709230547759e-06,4.20656965976901e-05,NA,NA
"NVE10017",412.087201228213,0.474557716759845,0.111718963391201,4.24778123923429,2.1589805382264e-05,0.000188961429846645,"K14709","SLC39A1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3"
"NVE10021",5065.61717448622,-1.2542386142782,0.229476049570296,-5.46566239320757,4.6118135639815e-08,9.54485815260589e-07,"K17341","HMCN; hemicentin"
"NVE10023",524.587379421086,0.461433243742371,0.112072863788281,4.11726111161104,3.83401608062045e-05,0.000308055201792877,NA,NA
"NVE10024",1529.35572616832,0.843372833703088,0.112913412966327,7.46919973054574,8.06839951177109e-14,8.1824095048722e-12,"K17268","COPE; coatomer subunit epsilon"
"NVE10025",17037.4261465824,-0.31679463425951,0.11943725316656,-2.65239383743804,0.00799232570429219,0.0269199995743849,"K02132","ATPeF1A; F-type H+-transporting ATPase subunit alpha"
"NVE10026",149.700791260009,0.540887672373897,0.180881492605571,2.99028753347007,0.00278714950464495,0.0113594726884228,"K01663","HIS7; glutamine amidotransferase / cyclase [EC:2.4.2.- 4.1.3.-]"
"NVE10030",18.6749070938045,-0.925063549386495,0.300617795053537,-3.07720821790258,0.00208949290302459,0.00893444948910148,NA,NA
"NVE10032",371.950916625071,0.668359581100346,0.168497911094756,3.96657487774129,7.29128762241454e-05,0.000530471877083029,NA,NA
"NVE10033",873.946058547467,0.608701992350701,0.15280214677067,3.98359581468617,6.78802850000718e-05,0.000497738964987952,NA,NA
"NVE10035",555.218115005012,-1.31427245111822,0.178154751086322,-7.37713949869011,1.61726532812381e-13,1.50348851358228e-11,NA,NA
"NVE10037",70.1353446144469,-1.19301161646633,0.216063362173538,-5.52158220840853,3.35960561685046e-08,7.29486093831403e-07,"K05673","ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
"NVE10044",443.471992068442,-0.687321733372145,0.185021620130683,-3.7148184784388,0.000203349615107072,0.00126870199874308,NA,NA
"NVE10046",42.3929544482524,-1.09127992461759,0.307895490195381,-3.54431928809707,0.000393628241879067,0.00220865497758702,NA,NA
"NVE10047",49.2851784024274,0.936039888953839,0.283689800786715,3.29951900406028,0.000968506697875048,0.00469265033816691,NA,NA
