"","transcript","ORF","cluster","bE","bJ","bA","SP","No.TM","KO","Kegg"
"1","NVE17482","Gene.26769::NVE17482::g.26769::m.26769","cluster2663",0,0,0,"N",0,"K20293","COG6; conserved oligomeric Golgi complex subunit 6"
"2","NVE18114","Gene.27668::NVE18114::g.27668::m.27668","cluster4271",1,0,1,"N",1,"K02270","COX7A; cytochrome c oxidase subunit 7a"
"3","NVE11349","Gene.17381::NVE11349::g.17381::m.17381","cluster4673",0,0,0,"N",0,"K10419","DYNLRB; dynein light chain roadblock-type"
"22107","NVE11349","Gene.17380::NVE11349::g.17380::m.17380","cluster555",0,0,0,"N",0,"",""
"4","NVE14007","Gene.21541::NVE14007::g.21541::m.21541","cluster1576",0,0,0,"N",0,"K16942","SEPT2; septin 2"
"5","NVE23080","Gene.35091::NVE23080::g.35091::m.35091","cluster6027",0,0,0,"N",0,"K15181","TH1L; negative elongation factor C/D"
"6","NVE12911","Gene.19788::NVE12911::g.19788::m.19788","cluster5",0,0,0,"N",0,"K10408",""
"24018","NVE12911","Gene.19789::NVE12911::g.19789::m.19789","cluster905",0,0,0,"N",0,"",""
"24019","NVE12911","Gene.19790::NVE12911::g.19790::m.19790","cluster551",0,0,0,"N",0,"",""
"24020","NVE12911","Gene.19791::NVE12911::g.19791::m.19791","cluster1622",0,0,0,"N",0,"",""
"24021","NVE12911","Gene.19792::NVE12911::g.19792::m.19792","cluster1960",0,0,0,"N",0,"",""
"24022","NVE12911","Gene.19793::NVE12911::g.19793::m.19793","cluster1258",0,0,0,"N",0,"",""
"7","NVE2456","Gene.3961::NVE2456::g.3961::m.3961","cluster170",0,0,1,"N",0,"K20478","GOLGB1; golgin subfamily B member 1"
"11567","NVE2456","Gene.3962::NVE2456::g.3962::m.3962","cluster1040",0,0,1,"N",0,"",""
"11568","NVE2456","Gene.3963::NVE2456::g.3963::m.3963","cluster150",0,0,1,"N",0,"",""
"8","NVE17129","Gene.26226::NVE17129::g.26226::m.26226","cluster182",0,0,0,"N",0,"K17592","SACS; sacsin"
"29076","NVE17129","Gene.26227::NVE17129::g.26227::m.26227","cluster1949",0,0,0,"N",0,"",""
"29077","NVE17129","Gene.26228::NVE17129::g.26228::m.26228","cluster441",0,0,0,"N",0,"",""
"9","NVE18682","Gene.28479::NVE18682::g.28479::m.28479","cluster987",0,0,0,"N",0,"K09090",""
"10","NVE22156","Gene.33714::NVE22156::g.33714::m.33714","cluster739",0,0,0,"N",0,"K03781","katE; catalase [EC:1.11.1.6]"
"11","NVE21353","Gene.32474::NVE21353::g.32474::m.32474","cluster73",0,0,0,"N",0,"K11254","H4; histone H4"
"33978","NVE21353","Gene.32473::NVE21353::g.32473::m.32473","cluster3427",0,0,0,"N",0,"",""
"12","NVE6466","Gene.9984::NVE6466::g.9984::m.9984","cluster73",0,0,0,"N",0,"K11254","H4; histone H4"
"13","NVE15052","Gene.23076::NVE15052::g.23076::m.23076","cluster3370",0,0,0,"N",0,"K17422","MRPL41; large subunit ribosomal protein L41"
"14","NVE6381","Gene.9858::NVE6381::g.9858::m.9858","cluster88",0,0,0,"N",0,"K18405","TDRD1_4_6_7; tudor domain-containing protein 1/4/6/7"
"16187","NVE6381","Gene.9859::NVE6381::g.9859::m.9859","cluster208",0,0,0,"N",0,"",""
"16188","NVE6381","Gene.9860::NVE6381::g.9860::m.9860","cluster1230",0,0,0,"N",0,"",""
"16189","NVE6381","Gene.9861::NVE6381::g.9861::m.9861","cluster1028",0,0,0,"N",0,"",""
"15","NVE10748","Gene.16465::NVE10748::g.16465::m.16465","cluster860",0,0,0,"N",0,"K00471","E1.14.11.1; gamma-butyrobetaine dioxygenase [EC:1.14.11.1]"
"16","NVE6779","Gene.10418::NVE6779::g.10418::m.10418","cluster5",0,0,0,"N",0,"K10408","DNAH; dynein heavy chain, axonemal"
"16616","NVE6779","Gene.10419::NVE6779::g.10419::m.10419","cluster3889",0,0,0,"N",0,"",""
"16617","NVE6779","Gene.10420::NVE6779::g.10420::m.10420","cluster6180",0,0,0,"N",0,"",""
"16618","NVE6779","Gene.10421::NVE6779::g.10421::m.10421","cluster6264",0,0,0,"Y",0,"",""
"16619","NVE6779","Gene.10422::NVE6779::g.10422::m.10422","cluster5179",0,0,0,"N",0,"",""
"16620","NVE6779","Gene.10423::NVE6779::g.10423::m.10423","cluster3803",0,0,0,"N",1,"",""
"16621","NVE6779","Gene.10424::NVE6779::g.10424::m.10424","cluster2640",0,0,0,"N",0,"",""
"17","NVE23439","Gene.35567::NVE23439::g.35567::m.35567","cluster1929",0,0,0,"N",0,"K10366","DMD; dystrophin"
"36408","NVE23439","Gene.35568::NVE23439::g.35568::m.35568","cluster7471",0,0,0,"N",2,"",""
"36409","NVE23439","Gene.35569::NVE23439::g.35569::m.35569","cluster5740",0,0,0,"N",1,"",""
"36410","NVE23439","Gene.35570::NVE23439::g.35570::m.35570","cluster3782",0,0,0,"N",0,"",""
"36411","NVE23439","Gene.35571::NVE23439::g.35571::m.35571","cluster801",0,0,0,"N",1,"",""
"36412","NVE23439","Gene.35572::NVE23439::g.35572::m.35572","cluster1850",0,0,0,"N",0,"",""
"36413","NVE23439","Gene.35573::NVE23439::g.35573::m.35573","cluster3205",0,0,0,"N",0,"",""
"36414","NVE23439","Gene.35574::NVE23439::g.35574::m.35574","cluster8820",0,0,0,"N",0,"",""
"36415","NVE23439","Gene.35575::NVE23439::g.35575::m.35575","cluster2",0,0,0,"N",0,"",""
"36416","NVE23439","Gene.35576::NVE23439::g.35576::m.35576","cluster485",0,0,0,"N",0,"",""
"36417","NVE23439","Gene.35577::NVE23439::g.35577::m.35577","cluster6488",0,0,0,"N",2,"",""
"36418","NVE23439","Gene.35578::NVE23439::g.35578::m.35578","cluster2771",0,0,0,"N",0,"",""
"18","NVE8414","Gene.12842::NVE8414::g.12842::m.12842","cluster49",0,0,0,"N",1,"K06238","COL6A; collagen, type VI, alpha"
"18533","NVE8414","Gene.12843::NVE8414::g.12843::m.12843","cluster1",0,0,0,"N",0,"",""
"18534","NVE8414","Gene.12844::NVE8414::g.12844::m.12844","cluster2178",0,0,0,"N",0,"",""
"18535","NVE8414","Gene.12845::NVE8414::g.12845::m.12845","cluster142",0,0,0,"N",0,"",""
"18536","NVE8414","Gene.12846::NVE8414::g.12846::m.12846","cluster2752",0,0,0,"N",0,"",""
"18537","NVE8414","Gene.12847::NVE8414::g.12847::m.12847","cluster4449",0,0,0,"N",0,"",""
"19","NVE16300","Gene.24918::NVE16300::g.24918::m.24918","cluster300",0,0,0,"N",0,"K04533","HD; huntingtin"
"28047","NVE16300","Gene.24919::NVE16300::g.24919::m.24919","cluster5959",0,0,0,"N",0,"",""
"28048","NVE16300","Gene.24920::NVE16300::g.24920::m.24920","cluster872",0,0,0,"N",0,"",""
"20","NVE18546","Gene.28285::NVE18546::g.28285::m.28285","cluster100",0,0,0,"N",0,"K16743","ASPM; abnormal spindle-like microcephaly-associated protein"
"30710","NVE18546","Gene.28286::NVE18546::g.28286::m.28286","cluster1337",0,0,0,"N",0,"",""
"30711","NVE18546","Gene.28287::NVE18546::g.28287::m.28287","cluster914",0,0,0,"N",0,"",""
"30712","NVE18546","Gene.28288::NVE18546::g.28288::m.28288","cluster1070",0,0,0,"N",0,"",""
"21","NVE11284","Gene.17257::NVE11284::g.17257::m.17257","cluster5",0,0,0,"N",0,"K10408","DNAH; dynein heavy chain, axonemal"
"22007","NVE11284","Gene.17258::NVE11284::g.17258::m.17258","cluster3290",0,0,0,"N",0,"",""
"22008","NVE11284","Gene.17259::NVE11284::g.17259::m.17259","cluster242",0,0,0,"N",0,"",""
"22009","NVE11284","Gene.17260::NVE11284::g.17260::m.17260","cluster1408",0,0,0,"N",2,"",""
"22010","NVE11284","Gene.17261::NVE11284::g.17261::m.17261","cluster3541",0,0,0,"N",0,"",""
"22","NVE3113","Gene.4937::NVE3113::g.4937::m.4937","cluster170",0,0,0,"N",0,"K20478","GOLGB1; golgin subfamily B member 1"
"12308","NVE3113","Gene.4938::NVE3113::g.4938::m.4938","cluster1645",0,0,0,"N",0,"",""
"12309","NVE3113","Gene.4939::NVE3113::g.4939::m.4939","cluster7584",0,0,0,"Y",2,"",""
"12310","NVE3113","Gene.4940::NVE3113::g.4940::m.4940","cluster919",0,0,0,"N",1,"",""
"12311","NVE3113","Gene.4941::NVE3113::g.4941::m.4941","cluster1777",0,0,0,"N",0,"",""
"12312","NVE3113","Gene.4942::NVE3113::g.4942::m.4942","cluster3354",0,0,0,"N",0,"",""
"23","NVE4080","Gene.6422::NVE4080::g.6422::m.6422","cluster638",0,0,0,"Y",1,"K17341","HMCN; hemicentin"
"13481","NVE4080","Gene.6423::NVE4080::g.6423::m.6423","cluster1426",0,0,0,"Y",4,"",""
"13482","NVE4080","Gene.6424::NVE4080::g.6424::m.6424","cluster1524",0,0,0,"N",0,"",""
"13483","NVE4080","Gene.6425::NVE4080::g.6425::m.6425","cluster641",0,0,0,"N",0,"",""
"13484","NVE4080","Gene.6426::NVE4080::g.6426::m.6426","cluster89",0,0,0,"Y",2,"",""
"13485","NVE4080","Gene.6427::NVE4080::g.6427::m.6427","cluster3647",0,0,0,"N",0,"",""
"13486","NVE4080","Gene.6428::NVE4080::g.6428::m.6428","cluster142",0,0,0,"N",0,"",""
"13487","NVE4080","Gene.6429::NVE4080::g.6429::m.6429","cluster3647",0,0,0,"N",0,"",""
"13488","NVE4080","Gene.6430::NVE4080::g.6430::m.6430","cluster1169",0,0,0,"N",0,"",""
"24","NVE15076","Gene.23101::NVE15076::g.23101::m.23101","cluster59",0,0,0,"N",0,"K10361","MYO15; myosin XV"
"26617","NVE15076","Gene.23102::NVE15076::g.23102::m.23102","cluster2382",0,0,0,"N",1,"",""
"26618","NVE15076","Gene.23103::NVE15076::g.23103::m.23103","cluster28",0,0,0,"N",0,"",""
"26619","NVE15076","Gene.23104::NVE15076::g.23104::m.23104","cluster19",0,0,0,"N",0,"",""
