# DESeq2/Condition GF vs wt
NVE100	K07152
NVE10017	K14709
NVE10021	K17341
NVE10024	K17268
NVE10038	K01444
NVE10098	K08621
NVE10099	K08632
NVE10164	K11795
NVE10170	K17495
NVE10174	K12586
NVE10177	K05094
NVE10179	K06237
NVE10183	K03064
NVE10214	K09705
NVE10215	K22125
NVE10421	K20163
NVE10422	K14326
NVE10427	K06279
NVE10439	K10591
NVE10493	K13696
NVE10495	K11729
NVE10506	K18259
NVE10557	K08029
NVE10565	K06129
NVE10574	K02542
NVE10599	K01242
NVE10623	K17560
NVE10632	K00069
NVE10642	K03433
NVE1074	K03951
NVE10746	K05765
NVE10762	K00281
NVE10763	K16860
NVE10787	K04567
NVE1081	K15365
NVE10827	K18468
NVE10881	K10416
NVE10890	K04799
NVE1093	K14829
NVE10930	K00688
NVE10946	K07562
NVE10949	K02599
NVE10950	K02599
NVE10951	K02599
NVE10972	K04794
NVE10991	K17253
NVE11040	K17906
NVE11062	K03363
NVE11063	K20280
NVE11066	K04570
NVE11117	K03456
NVE11119	K12331
NVE11122	K11583
NVE11184	K02145
NVE11229	K22422
NVE11231	K18080
NVE11282	K17495
NVE11283	K12236
NVE11306	K11090
NVE11319	K09339
NVE11330	K20408
NVE1135	K03243
NVE11357	K12160
NVE11365	K14838
NVE11413	K08876
NVE11452	K21760
NVE11463	K07199
NVE11484	K10771
NVE1149	K04809
NVE11492	K00799
NVE11511	K20044
NVE11535	K01080
NVE11538	K01239
NVE11539	K01254
NVE11540	K05607
NVE11588	K00600
NVE1159	K17253
NVE11678	K03454
NVE11689	K14411
NVE11713	K09488
NVE11722	K16769
NVE11745	K12389
NVE1178	K13146
NVE1180	K10106
NVE11840	K08496
NVE11860	K11407
NVE11923	K01940
NVE11962	K04796
NVE12020	K02599
NVE12028	K09288
NVE12053	K11549
NVE12089	K10349
NVE12095	K00572
NVE12115	K15118
NVE1212	K11091
NVE12158	K05849
NVE12172	K18733
NVE12177	K02503
NVE12196	K10656
NVE1232	K20181
NVE12328	K09531
NVE12336	K12402
NVE12378	K12035
NVE1238	K00049
NVE12389	K00759
NVE12397	K11147
NVE12401	K14790
NVE12428	K07943
NVE12441	K04712
NVE12456	K02907
NVE12498	K17253
NVE12517	K00714
NVE12519	K11251
NVE12522	K16172
