"","Contig","Condition_GF_vs_wt","Condition_GF_vs_bA.A","Condition_GF_vs_bJ.A","Condition_GF_vs_bE.A","Condition_bA.A_vs_wt","Condition_bJ.A_vs_wt","Condition_bE.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_GF","Condition_bE.A_bJ.A_bA.A_vs_GF_wt","ID_PANTHER","ID_PRINTS","ID_Pfam","ID_SMART","ID_SUPERFAMILY","Desc_PANTHER","Desc_PRINTS","Desc_Pfam","Desc_SMART","Desc_SUPERFAMILY","ID_KEGG","Desc_KEGG","ID_GO","SP","No.TM","vennLocation"
"1","NVE10195",0,-0.86323446209259,-0.581624991791491,-0.695809014111612,0.449466975389934,0,0,0.705126892949147,1.1188943796518,1.21601393712109,"PTHR12369;PTHR12369:SF15","","PF07691","SM00758","SSF56988",NA,"","PA14 domain","",NA,"K09656","B4GALNT3; beta-1,4-N-acetylgalactosaminyltransferase 3 [EC:2.4.1.244]",NA,"N","1","overlap"
"2","NVE10197",0,0.368092636302533,0.457304846351201,0.554154297227982,-0.527368061227575,-0.616580271276243,-0.713429722153025,-1.05071623590866,-0.89144081098362,-1.29477172035771,"PTHR23068:SF10;PTHR23068","","PF00145;PF00855","SM00293","SSF63748;SSF53335;SSF57903",NA,"","C-5 cytosine-specific DNA methylase;PWWP domain","",NA,"K17398","DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]","GO:0009008;GO:0010468;GO:0046872","N","0","overlap"
"3","NVE10213",0,0.423555804233025,0.273454813310153,0.447237633998072,-0.382208049067044,-0.232107058144173,-0.405889878832092,-0.628661690729987,-0.670009445895968,-0.865781093552628,"PTHR13018:SF5;PTHR13018","","PF02714","","",NA,"","Calcium-dependent channel; 7TM region; putative phosphate","",NA,"","","GO:0016021","N","3","overlap"
"4","NVE10427",-0.266370118706134,-0.196421679665042,-0.202358228347612,-0.385057989491804,0,0,0,0,0.363755236703808,0.307426448397999,"PTHR10337:SF11;PTHR10337","PR00629;PR00401","PF00640;PF00017","SM00252;SM00462","SSF50729;SSF55550",NA,"SHC phosphotyrosine interaction domain signature;SH2 domain signature","Phosphotyrosine interaction domain (PTB/PID);SH2 domain","",NA,"K06279","SHC1; SHC-transforming protein 1","GO:0005622;GO:0005886;GO:0007169;GO:0030971;GO:0035556","N","0","overlap"
"5","NVE11264",0,-0.646051612961962,-0.661457525872689,-0.979082431062601,0.554392507821748,0.569798420732475,0.887423325922386,1.24363256211937,1.33529166725959,1.71928251343821,"PTHR23510:SF3;PTHR23510","","PF07690","","SSF103473",NA,"","Major Facilitator Superfamily","",NA,"","","GO:0016021;GO:0055085","N","12;1","overlap"
"6","NVE11272",0,-0.399234407955726,-0.509964134280597,-0.598963278667589,0.329650004147554,0.440379730472424,0.529378874859417,0.807479429733112,0.877063833541284,1.12302842341443,"PTHR43989","","PF00643","SM00336","SSF57845",NA,"","B-box zinc finger","",NA,"","","GO:0005622;GO:0008270","N","0","overlap"
"7","NVE11506",0,-0.847427138041176,-0.618844763777156,-0.703679357311733,0.469308385211497,0,0,0.772604900819547,1.15072365364923,1.28221870355997,"PTHR24060:SF116;PTHR24060","PR00248;PR00592","PF00003;PF07562;PF01094","","SSF53822",NA,"Metabotropic glutamate GPCR signature;Extracellular calcium-sensing receptor signature","7 transmembrane sweet-taste receptor of 3 GCPR;Nine Cysteines Domain of family 3 GPCR;Receptor family ligand binding region","",NA,"K04612","CASR; calcium-sensing receptor","GO:0004930;GO:0005887;GO:0007216;GO:0008066","N","7","overlap"
"8","NVE11757",-0.433190319111625,0.451900382414789,0.38992463094667,0.669985780723475,-0.885090701526413,-0.823114950058295,-1.1031760998351,-1.51355246561675,-1.08036214650513,-1.72927678940666,"PTHR13140;PTHR13140:SF550","PR00193;PR00401","PF00017;PF00063;PF00612","SM00242;SM00015;SM00252","SSF52540;SSF55550",NA,"Myosin heavy chain signature;SH2 domain signature","SH2 domain;Myosin head (motor domain);IQ calmodulin-binding motif","",NA,"","",NA,"N","0","overlap"
"9","NVE1182",0,-0.591952960615296,-0.439928153297535,-0.473109286111336,0.527452899435787,0.375428092118026,0.408609224931827,0.812694551977183,0.877194613156692,1.12659244541092,"PTHR24083:SF54;PTHR24083","PR00047;PR00398","PF00104;PF00105","SM00430;SM00399","SSF57716;SSF48508",NA,"C4-type steroid receptor zinc finger signature;Steroid hormone receptor signature","Ligand-binding domain of nuclear hormone receptor;Zinc finger; C4 type (two domains)","",NA,"","","GO:0003700;GO:0003707;GO:0005634;GO:0006351;GO:0008270;GO:0043565","N","0","overlap"
"10","NVE11837",0,-0.855032651127953,-0.920557836520883,-1.50900802553411,0.595551876553302,0.661077061946232,1.24952725095946,1.60748649767056,1.86696727224521,2.31630211813943,"PTHR11474:SF16;PTHR11474","PR00092","PF00092;PF00264","SM00327","SSF53300;SSF48056",NA,"Tyrosinase copper-binding domain signature","von Willebrand factor type A domain;Common central domain of tyrosinase","",NA,"","","GO:0016491;GO:0046872","Y","0","overlap"
"11","NVE11847",0,-0.748200613408078,-1.39487419415277,-1.62448647231714,0,1.02520551048709,1.25481778865146,1.74300108696865,2.11266977063432,2.57044684159048,"PTHR11405:SF38;PTHR11405","PR00096;PR00098;PR00099","PF02786;PF00117;PF02787","SM01096","SSF48108;SSF52440;SSF56059;SSF52317",NA,"Glutamine amidotransferase superfamily signature;Carbamoyl-phosphate synthase protein CPSase domain signature;Carbamoyl-phosphate synthase protein GATase domain signature","Carbamoyl-phosphate synthase L chain; ATP binding domain;Glutamine amidotransferase class-I;Carbamoyl-phosphate synthetase large chain; oligomerisation domain","",NA,"K01948","CPS1; carbamoyl-phosphate synthase (ammonia) [EC:6.3.4.16]","GO:0000050;GO:0004087;GO:0004088;GO:0005524;GO:0005737;GO:0006207;GO:0006526;GO:0006541;GO:0046872","N;Y","0","overlap"
"12","NVE1217",0,-0.557403214368443,-0.747164830822764,-0.752361938610788,0,0.520692613993856,0.52588972178188,0.917097330306418,1.14356954713533,1.37377754863975,"PTHR10024:SF234;PTHR10024","","PF00168","SM00239","SSF49562",NA,"","C2 domain","",NA,"K19914","SYT15; synaptotagmin-15","GO:0005509;GO:0005544;GO:0005886;GO:0006906;GO:0017158;GO:0019905;GO:0030276","N","1","overlap"
"13","NVE123",-0.654990338643303,-1.72681278891344,-1.39265522838548,-1.29615567345842,1.07182245027013,0.737664889742181,0.641165334815115,1.73238808954126,2.38737842818456,2.74651072082765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","GO:0016021","N","1","overlap"
"14","NVE1233",0,0.765390868511842,0.555232216752796,1.10994717505939,-0.655376144521831,-0.445217492762785,-0.999932451069378,-1.30432119062632,-1.41433591461633,-1.81243836348017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","GO:0000155;GO:0005524;GO:0005622;GO:0005198;GO:0016021;GO:0019031;GO:0019062;GO:0020002;GO:0039663;GO:0044175;GO:0055036","N","1","overlap"
"15","NVE12374",0,-0.805166275955332,-0.983381244046068,-0.777963075782445,0,0,0,0.760281249738019,1.31715671956709,1.3849581878464,"PTHR19331:SF22;PTHR19331","PR00258","PF00530","SM00202","SSF56487",NA,"Speract receptor signature","Scavenger receptor cysteine-rich domain","",NA,"K13912","DMBT1; deleted in malignant brain tumors 1 protein","GO:0005044;GO:0016020","N","0","overlap"
"16","NVE12755",-0.48226193480917,-0.367543389894653,-0.964559206169336,-1.13274743835847,0,0.482297271360165,0.650485503549298,0.803743816642734,1.2860057514519,1.39316595812801,"PTHR12011","PR00249","PF01825;PF00002","SM00303","SSF81321",NA,"Secretin-like GPCR superfamily signature","GPCR proteolysis site; GPS; motif;7 transmembrane receptor (Secretin family)","",NA,"K08465","GPR133; G protein-coupled receptor 133","GO:0004930;GO:0007166;GO:0016021","N","7;0","overlap"
"17","NVE13022",0,-0.772310206272635,-0.832726745717457,-1.0377909791804,0.68208568696725,0.742502226412072,0.94756645987501,1.45938292268164,1.54960744198702,2.00599316727337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"N","0","overlap"
"18","NVE13061",0,-0.391861554854261,-0.392811374192968,-0.381710130922522,0,0,0,0.373597677180014,0.606620921850341,0.653478746239718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",";GO:0005643;GO:0017056","N","0","overlap"
"19","NVE13129",0,-0.44706921234577,-0.494502543072761,-0.599627126507641,0.622642999395604,0.670076330122595,0.775200913557475,1.17052311164115,0.994949324591321,1.44364789030858,"PTHR22572;PTHR22572:SF125","","PF00483;PF00132","","SSF53448",NA,"","Nucleotidyl transferase;Bacterial transferase hexapeptide (six repeats)","",NA,"K00966","GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]","GO:0009058;GO:0016779","N","0","overlap"
"20","NVE1356",-0.934248018630866,-0.941073730324397,-1.06507902230293,-1.35839628906798,0,0,0.42414827043711,0.710782613846511,1.64503063247738,1.57054181845548,"PTHR19134","PR00700","PF00102;PF00041","SM00060;SM00194","SSF52799;SSF49265",NA,"Protein tyrosine phosphatase signature","Protein-tyrosine phosphatase;Fibronectin type III domain","",NA,"","","GO:0004725","N","0;1","overlap"
"21","NVE1360",-0.704289469107379,-0.68000928956761,-0.899936457153476,-1.32502098303561,0,0,0.620731513928234,0.756975193651537,1.46126466275892,1.47882622715043,"PTHR44022:SF1;PTHR44022","PR00014","PF00041","SM00060;SM00231","SSF49785;SSF49265",NA,"Fibronectin type III repeat signature","Fibronectin type III domain","",NA,"K13297","PTPRT; receptor-type tyrosine-protein phosphatase T [EC:3.1.3.48]",NA,"N","0","overlap"
"22","NVE1366",-0.502998705775526,-0.751657878028036,-0.8891822055506,-1.29396370839162,0,0.386183499775075,0.790965002616097,1.05668462802171,1.55968333379724,1.74424485710822,"PTHR19134;PTHR19134:SF447","PR00700","PF00041;PF00102;PF00754","SM00194;SM00607;SM00060;SM00231;SM00404","SSF49265;SSF52799;SSF49785",NA,"Protein tyrosine phosphatase signature","Fibronectin type III domain;Protein-tyrosine phosphatase;F5/8 type C domain","",NA,"","","GO:0004725","N","1;0","overlap"
"23","NVE1384",0,-1.48169494046134,-1.25890121520023,-1.82155375541388,1.181482720633,0.958688995371893,1.52134153558554,2.31699331047998,2.61720553030832,3.28946550086355,"PTHR33995;PTHR33995:SF7","","","","SSF57501",NA,"","","",NA,"","",NA,"Y","0","overlap"
"24","NVE1389",0,0.276414502346889,0.306942931397948,0.325568233901063,0,-0.224956417612724,-0.24358172011584,-0.430573704990363,-0.512560218775586,-0.62875642942552,"PTHR44043;PTHR44043:SF3","PR01705","PF01822;PF00090","SM00209","SSF82895;SSF53300",NA,"Thrombospondin type 1 repeat signature","WSC domain;Thrombospondin type 1 domain","",NA,"","",NA,"Y;N","0","overlap"
"25","NVE1399",0,-0.50987564988926,-0.43457349555017,-0.826802054057023,0.607959982738325,0.532657828399234,0.924886386906088,1.20006922787158,1.10198489502252,1.53470238010855,"PTHR23101:SF98;PTHR23101","","PF02204","","SSF109993",NA,"","Vacuolar sorting protein 9 (VPS9) domain","",NA,"","",NA,"N","0","overlap"
"26","NVE14040",0,0.463766935310066,0.545152618857238,0.859187140160321,0,0,-0.687079046018595,-0.879912341755099,-1.05202043589683,-1.2879554709705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","GO:0003700;GO:0005634;GO:0043565;GO:0046872","Y;N","0","overlap"
