"","Contig","GO"
"1","NVE1","GO:0003676"
"2","NVE1","GO:0015074"
"3","NVE3","GO:0016021"
"5","NVE5","GO:0003676"
"6","NVE5","GO:0006364"
"7","NVE5","GO:0008408"
"11","NVE6","GO:0031410"
"12","NVE6","GO:0035091"
"13","NVE6","GO:0000281"
"14","NVE6","GO:0006886"
"15","NVE6","GO:0006897"
"18","NVE7","GO:0000281"
"19","NVE7","GO:0006886"
"20","NVE7","GO:0006897"
"21","NVE7","GO:0031410"
"22","NVE7","GO:0035091"
"24","NVE8",""
"25","NVE9","GO:0010181"
"26","NVE9","GO:0016491"
"30","NVE10","GO:0005096"
"31","NVE10","GO:0005622"
"32","NVE10","GO:0006886"
"33","NVE10","GO:0012505"
"34","NVE10","GO:0017137"
"35","NVE10","GO:0031338"
"36","NVE10","GO:0090630"
"44","NVE11","GO:0004930"
"45","NVE11","GO:0016021"
"46","NVE11","GO:0005215"
"47","NVE11","GO:0016020"
"48","NVE11","GO:0055085"
"55","NVE11",""
"58","NVE11","GO:0016787"
"59","NVE12","GO:0004930"
"60","NVE12","GO:0016021"
"61","NVE13","GO:0006486"
"62","NVE13","GO:0008375"
"73","NVE14",""
"75","NVE14","GO:0016021"
"76","NVE15","GO:0004222"
"77","NVE15","GO:0008270"
"78","NVE15","GO:0016020"
"81","NVE16","GO:0004222"
"82","NVE16","GO:0016020"
"84","NVE16","GO:0008270"
"86","NVE18","GO:0031514"
"87","NVE18","GO:0044782"
"88","NVE19","GO:0003723"
"89","NVE20","GO:0005524"
"90","NVE20","GO:0016021"
"91","NVE20","GO:0016887"
"92","NVE22","GO:0016021"
"93","NVE23","GO:0016874"
"94","NVE24","GO:0004672"
"95","NVE24","GO:0005524"
"100","NVE25","GO:0003743"
"101","NVE25","GO:0005737"
"106","NVE26","GO:0016021"
"109","NVE26","GO:0004930"
"110","NVE26","GO:0007166"
"112","NVE30","GO:0003735"
"113","NVE30","GO:0005762"
"114","NVE30","GO:0032543"
"116","NVE30","GO:0005761"
"117","NVE30","GO:0006412"
"118","NVE31","GO:0005524"
"119","NVE31","GO:0016301"
"122","NVE32","GO:0003924"
"123","NVE32","GO:0005525"
"124","NVE32","GO:0030141"
"125","NVE32","GO:0032402"
"126","NVE32","GO:0042470"
"127","NVE32","GO:0045921"
"134","NVE34","GO:0016021"
"135","NVE35","GO:0005829"
"136","NVE35","GO:0006355"
"137","NVE35","GO:0008469"
"138","NVE35","GO:0035242"
"139","NVE35","GO:0006479"
"140","NVE35","GO:0008168"
"141","NVE36","GO:0046872"
"143","NVE37","GO:0005089"
"144","NVE37","GO:0005622"
"145","NVE37","GO:0035023"
"146","NVE37","GO:0035556"
"147","NVE38","GO:0000287"
"148","NVE38","GO:0004743"
"149","NVE38","GO:0005737"
"150","NVE38","GO:0006096"
"151","NVE38","GO:0016301"
"152","NVE38","GO:0030955"
"157","NVE39","GO:0000790"
"158","NVE39","GO:0004536"
"159","NVE39","GO:0005737"
"160","NVE39","GO:0006309"
"161","NVE39","GO:0005634"
"164","NVE39","GO:0016787"
"165","NVE40","GO:0003824"
"166","NVE40","GO:0008152"
"167","NVE41","GO:0000381"
"168","NVE41","GO:0000389"
"169","NVE41","GO:0003723"
"170","NVE41","GO:0005686"
"171","NVE41","GO:0071004"
"172","NVE41","GO:0071013"
"180","NVE41","GO:0006396"
"183","NVE42","GO:0004096"
"184","NVE42","GO:0020037"
"185","NVE43","GO:0005509"
"186","NVE43","GO:0016021"
"229","NVE45","GO:0000470"
"230","NVE45","GO:0003723"
"231","NVE45","GO:0003735"
"232","NVE45","GO:0006412"
"233","NVE45","GO:0022625"
"237","NVE45","GO:0015934"
"238","NVE46","GO:0005623"
"239","NVE46","GO:0006662"
"240","NVE46","GO:0015035"
"241","NVE46","GO:0045454"
"242","NVE46","GO:0016021"
"247","NVE47","GO:0005524"
"248","NVE47","GO:0046872"
"253","NVE48","GO:0004563"
"254","NVE48","GO:0005975"
"255","NVE48","GO:0102148"
"256","NVE49","GO:0004222"
"257","NVE49","GO:0008270"
"258","NVE49","GO:0031012"
"262","NVE50","GO:0004930"
"263","NVE50","GO:0016021"
"268","NVE51","GO:0005215"
"269","NVE51","GO:0005328"
"270","NVE51","GO:0005887"
"271","NVE54","GO:0005509"
"282","NVE54","GO:0005576"
"283","NVE54","GO:0016504"
"284","NVE54","GO:0030198"
"297","NVE57","GO:0004222"
"299","NVE57","GO:0016021"
"300","NVE59","GO:0016021"
"301","NVE59","GO:0046983"
"302","NVE60","GO:0016021"
"303","NVE60","GO:0046983"
"306","NVE60","GO:0061588"
"307","NVE61","GO:0003684"
"308","NVE61","GO:0003887"
"309","NVE61","GO:0042276"
"315","NVE61","GO:0005634"
"321","NVE62","GO:0000139"
"322","NVE62","GO:0006486"
"323","NVE62","GO:0016021"
"324","NVE62","GO:0032580"
"325","NVE62","GO:0046920"
"331","NVE65","GO:0004672"
"332","NVE65","GO:0005524"
"333","NVE66","GO:0016021"
"334","NVE67","GO:0006886"
"335","NVE67","GO:0016192"
"336","NVE67","GO:0030124"
"337","NVE68","GO:0006886"
"338","NVE68","GO:0016192"
"339","NVE68","GO:0030117"
"340","NVE69","GO:0000027"
"341","NVE69","GO:0003735"
"342","NVE69","GO:0006412"
"343","NVE69","GO:0019843"
"344","NVE69","GO:0022625"
"346","NVE69","GO:0005840"
"351","NVE70","GO:0003012"
"352","NVE70","GO:0005509"
"353","NVE70","GO:0016012"
"354","NVE70","GO:0016021"
"355","NVE70","GO:0061024"
"359","NVE71","GO:0008168"
"361","NVE72","GO:0016021"
"362","NVE72","GO:0017022"
"363","NVE72","GO:0098609"
"364","NVE74","GO:0003677"
"365","NVE74","GO:0016589"
"366","NVE74","GO:0071339"
"367","NVE76","GO:0005623"
"368","NVE76","GO:0006662"
"369","NVE76","GO:0015035"
"370","NVE76","GO:0045454"
"371","NVE77","GO:0004693"
"372","NVE77","GO:0005524"
"373","NVE77","GO:0005634"
"374","NVE77","GO:0005737"
"375","NVE77","GO:0008353"
"376","NVE77","GO:0019912"
"377","NVE77","GO:0070985"
"378","NVE77","GO:1904031"
"379","NVE78","GO:0005783"
"380","NVE78","GO:0016021"
"381","NVE78","GO:0046513"
"382","NVE78","GO:0050291"
"383","NVE81","GO:0005509"
"385","NVE82","GO:0005524"
"386","NVE82","GO:0016021"
"387","NVE82","GO:0016887"
"390","NVE82","GO:0042626"
"406","NVE82","GO:0000155"
"408","NVE82","GO:0005622"
"409","NVE83","GO:0005509"
"416","NVE87","GO:0003723"
"417","NVE87","GO:0003824"
"418","NVE87","GO:0006351"
"419","NVE87","GO:0031564"
"428","NVE91","GO:0005215"
"429","NVE91","GO:0016021"
"430","NVE91","GO:0034220"
"434","NVE93","GO:0000166"
"435","NVE93","GO:0003938"
"436","NVE93","GO:0005737"
"437","NVE93","GO:0006177"
"438","NVE93","GO:0006183"
"439","NVE93","GO:0046872"
"445","NVE94","GO:0004556"
"446","NVE94","GO:0005509"
"447","NVE94","GO:0005975"
"448","NVE94","GO:0103025"
"449","NVE95","GO:0003677"
"450","NVE95","GO:0003713"
"451","NVE95","GO:0005634"
"452","NVE97","GO:0008146"
"456","NVE98","GO:0008146"
"459","NVE100","GO:0016021"
"460","NVE100","GO:0005507"
"461","NVE100","GO:0005743"
"462","NVE100","GO:0006825"
"463","NVE100","GO:0006878"
"464","NVE100","GO:0008535"
"466","NVE100","GO:0045454"
"467","NVE101","GO:0008017"
"468","NVE101","GO:0015630"
"469","NVE101","GO:0005622"
"470","NVE101","GO:0035556"
"471","NVE102","GO:0016021"
"472","NVE103","GO:0016021"
"473","NVE104","GO:0016021"
"474","NVE105","GO:0016021"
"475","NVE106","GO:0004843"
"476","NVE106","GO:0006511"
"477","NVE106","GO:0008270"
"478","NVE106","GO:0016579"
"479","NVE108","GO:0016021"
"480","NVE110","GO:0005047"
"481","NVE110","GO:0005525"
"482","NVE110","GO:0005785"
"483","NVE110","GO:0016021"
"484","NVE111","GO:0003723"
"485","NVE111","GO:0004000"
"486","NVE111","GO:0006396"
"487","NVE112","GO:0005634"
"488","NVE112","GO:0005737"
"489","NVE112","GO:0019509"
"490","NVE112","GO:0046523"
"493","NVE112","GO:0019284"
"496","NVE113","GO:0016021"
"509","NVE113","GO:0042891"
"516","NVE114","GO:0016021"
"517","NVE115","GO:0016021"
"518","NVE115","GO:0003676"
"519","NVE115","GO:0008270"
"522","NVE117","GO:0005509"
"527","NVE118","GO:0003676"
"528","NVE120","GO:0016021"
"529","NVE123","GO:0016021"
"531","NVE124","GO:0005509"
"543","NVE125","GO:0016021"
