cluster,KO,Description
NVE381,,
NVE6509,,
NVE19419,,
NVE11151,,
NVE7830,,
NVE1270,,
NVE17482,K20293,COG6; conserved oligomeric Golgi complex subunit 6
NVE18114,K02270,COX7A; cytochrome c oxidase subunit 7a
NVE7313,,
NVE8707,,
NVE18507,,
NVE6749,,
NVE8182,,
NVE26045,,
NVE12307,,
NVE13823,,
NVE21676,,
NVE7387,,
NVE1753,,
NVE19459,,
NVE18945,,
NVE20355,,
NVE24324,,
NVE3053,,
NVE1206,,
NVE7880,,
NVE13406,,
NVE16599,,
NVE146,,
NVE18692,,
NVE1977,,
NVE11349,K10419,DYNLRB; dynein light chain roadblock-type
NVE9019,,
NVE18736,,
NVE9770,,
NVE14007,K16942,SEPT2; septin 2
NVE25794,,
NVE1427,,
NVE18200,,
NVE25250,,
NVE15253,,
NVE13169,,
NVE26048,,
NVE23080,K15181,TH1L; negative elongation factor C/D
NVE12911,K10408,
NVE18845,,
NVE4925,,
NVE16145,,
NVE13147,,
NVE24138,,
NVE3427,,
NVE2456,K20478,GOLGB1; golgin subfamily B member 1
NVE17129,K17592,SACS; sacsin
NVE10286,,
NVE11877,,
NVE7930,,
NVE10740,,
NVE17592,,
NVE18682,K09090,
NVE8452,,
NVE25496,,
NVE24444,,
NVE11766,,
NVE3433,,
NVE12701,,
NVE13483,,
NVE15052,K17422,MRPL41; large subunit ribosomal protein L41
NVE12079,,
NVE5926,,
NVE21840,,
NVE6381,K18405,TDRD1_4_6_7; tudor domain-containing protein 1/4/6/7
NVE23759,,
NVE14696,,
NVE14798,,
NVE10748,K00471,E1.14.11.1; gamma-butyrobetaine dioxygenase [EC:1.14.11.1]
NVE21543,,
NVE6779,K10408,"DNAH; dynein heavy chain, axonemal"
NVE23439,K10366,DMD; dystrophin
NVE20018,,
NVE8414,K06238,"COL6A; collagen, type VI, alpha"
NVE9654,,
NVE16002,,
NVE23914,,
NVE4400,,
NVE16300,K04533,HD; huntingtin
NVE7655,,
NVE18546,K16743,ASPM; abnormal spindle-like microcephaly-associated protein
NVE11284,K10408,"DNAH; dynein heavy chain, axonemal"
NVE3113,K20478,GOLGB1; golgin subfamily B member 1
NVE21580,,
NVE4080,K17341,HMCN; hemicentin
NVE4287,,
NVE15076,K10361,MYO15; myosin XV
NVE4412,K22262,WDFY3; WD repeat and FYVE domain-containing protein 3
NVE7705,K16669,FAT4; protocadherin Fat 4
NVE18898,K16353,SDK; protein sidekick
NVE14048,,
NVE23147,K12231,HECTD1; E3 ubiquitin-protein ligase HECTD1 [EC:2.3.2.26]
NVE14868,K04988,PKD1L2; polycystin 1L2
NVE1285,K04659,THBS2S; thrombospondin 2/3/4/5
NVE19902,K20283,GOLGA4; golgin subfamily A member 4
NVE25961,K19483,NAV2; neuron navigator 2 [EC:3.6.4.12]
NVE19182,,
NVE15192,,
NVE8661,,
NVE21775,K12856,PRPF8; pre-mRNA-processing factor 8
NVE5835,K17572,ARFGEF3; brefeldin A-inhibited guanine nucleotide-exchange protein 3
