"Pathway","cluster","KO","Description","Category","Family","KO.y","Name"
"01220 Degradation of aromatic compounds","NVE13938","K00002","AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","Metabolism","Overview","ko01220","AKR1A1, adh, alcohol dehydrogenase (NADP+)"
"00010 Glycolysis / Gluconeogenesis","NVE13938","K00002","AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","Metabolism","Carbohydrate metabolism","ko00010","AKR1A1, adh, alcohol dehydrogenase (NADP+)"
"00040 Pentose and glucuronate interconversions","NVE13938","K00002","AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","Metabolism","Carbohydrate metabolism","ko00040","AKR1A1, adh, alcohol dehydrogenase (NADP+)"
"00561 Glycerolipid metabolism","NVE13938","K00002","AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","Metabolism","Lipid metabolism","ko00561","AKR1A1, adh, alcohol dehydrogenase (NADP+)"
"00930 Caprolactam degradation","NVE13938","K00002","AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","Metabolism","Xenobiotics biodegradation and metabolism","ko00930","AKR1A1, adh, alcohol dehydrogenase (NADP+)"
"01220 Degradation of aromatic compounds","NVE19277","K00002","AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","Metabolism","Overview","ko01220","AKR1A1, adh, alcohol dehydrogenase (NADP+)"
"00010 Glycolysis / Gluconeogenesis","NVE19277","K00002","AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","Metabolism","Carbohydrate metabolism","ko00010","AKR1A1, adh, alcohol dehydrogenase (NADP+)"
"00040 Pentose and glucuronate interconversions","NVE19277","K00002","AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","Metabolism","Carbohydrate metabolism","ko00040","AKR1A1, adh, alcohol dehydrogenase (NADP+)"
"00561 Glycerolipid metabolism","NVE19277","K00002","AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","Metabolism","Lipid metabolism","ko00561","AKR1A1, adh, alcohol dehydrogenase (NADP+)"
"00930 Caprolactam degradation","NVE19277","K00002","AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","Metabolism","Xenobiotics biodegradation and metabolism","ko00930","AKR1A1, adh, alcohol dehydrogenase (NADP+)"
"00564 Glycerophospholipid metabolism","NVE14910","K00006","GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]","Metabolism","Lipid metabolism","ko00564","GPD1, glycerol-3-phosphate dehydrogenase (NAD+)"
"04011 MAPK signaling pathway - yeast","NVE14910","K00006","GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]","Environmental Information Processing","Signal transduction","ko04011","GPD1, glycerol-3-phosphate dehydrogenase (NAD+)"
"00564 Glycerophospholipid metabolism","NVE4030","K00006","GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]","Metabolism","Lipid metabolism","ko00564","GPD1, glycerol-3-phosphate dehydrogenase (NAD+)"
"04011 MAPK signaling pathway - yeast","NVE4030","K00006","GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]","Environmental Information Processing","Signal transduction","ko04011","GPD1, glycerol-3-phosphate dehydrogenase (NAD+)"
